Frame, Rg(whole graph) / Å, Rg(subgraphs) / Å
50,26.707,11.375,8.264,11.573,10.738,12.880,11.585,10.700,8.712,8.792,12.631,11.555,8.885
51,29.179,8.936,10.162,13.311,9.759,9.618,9.919,9.719,11.146,11.798,9.528,10.837,9.563
52,32.707,9.549,8.747,9.853,8.734,8.727,10.431,9.091,10.293,10.322,8.444,9.416,10.240
53,24.987,8.612,9.815,10.155,8.503,11.325,9.353,10.883,9.900,8.913,8.758,9.211,9.250
54,22.545,9.038,11.688,11.060,9.603,9.939,10.614,12.896,12.538,9.165,10.471,9.458,10.845
55,28.248,9.846,9.673,10.783,10.416,9.749,9.089,10.226,12.400,11.669,9.312,10.329,10.572
56,26.072,11.695,9.356,10.502,9.204,10.083,9.685,11.722,12.460,9.564,9.861,10.009,10.234
57,23.798,9.633,9.146,10.967,9.175,9.905,10.420,10.890,10.777,9.186,12.341,10.042,10.807
58,35.833,10.878,8.077,9.392,10.007,10.952,11.254,10.279,11.360,10.302,11.801,12.038,9.477
59,29.493,10.690,9.542,9.447,9.310,9.987,11.954,9.194,10.490,8.044,10.500,11.028,9.724
60,31.510,9.480,8.682,10.144,10.116,9.596,9.470,11.898,12.828,8.628,9.022,10.281,10.451
61,22.315,10.531,11.059,12.082,12.693,10.429,11.196,10.031,8.906,10.387,10.335,11.052,8.189
62,21.987,11.376,10.112,9.898,10.970,9.701,10.977,10.128,10.780,10.344,9.715,11.381,8.400
63,23.117,10.945,9.810,9.372,9.886,12.550,10.600,9.386,11.668,10.827,12.179,9.535,10.962
64,22.584,10.290,9.018,10.917,11.389,11.893,9.364,10.326,12.491,10.790,8.918,8.823,11.055
65,29.261,11.545,10.037,12.334,10.500,10.828,10.929,10.799,9.133,11.857,8.892,9.325,10.836
66,22.162,8.336,11.862,12.766,8.644,10.987,10.898,9.577,10.189,9.840,9.540,9.985,10.879
67,25.281,9.522,10.295,9.472,8.486,10.702,9.530,11.211,8.234,11.834,11.795,10.417,8.724
68,40.075,10.677,10.727,10.172,9.660,10.219,11.686,8.929,11.173,11.058,10.989,10.447,8.339
69,40.149,9.114,10.812,9.821,10.044,8.981,8.625,8.560,9.173,11.307,11.121,9.313,8.342
70,35.322,12.419,12.022,9.771,9.928,11.565,8.312,10.567,12.276,11.640,8.367,9.790,10.319
71,41.334,9.689,9.918,13.631,10.213,11.873,11.477,10.281,9.941,12.285,10.071,10.540,11.249
72,42.253,8.645,12.251,10.853,10.572,10.272,8.272,10.415,9.293,12.426,9.298,8.294,9.429
73,48.628,8.516,10.861,12.481,9.606,12.917,10.304,13.113,9.179,11.570,9.459,10.346,8.628
74,55.150,9.292,10.297,10.553,8.418,9.977,9.228,10.211,9.148,10.722,10.682,11.399,8.118
75,49.539,11.795,9.956,7.958,8.688,10.677,10.379,10.226,8.249,9.494,8.948,11.685,8.145
76,45.819,9.137,9.758,8.786,8.232,10.166,11.104,8.132,7.938,11.070,13.945,11.670,9.065
77,27.423,9.247,9.785,9.985,11.303,9.610,9.935,9.724,10.188,10.261,10.239,11.181,9.052
78,37.801,10.422,9.198,9.920,11.535,9.272,9.452,8.828,10.095,9.349,12.263,9.189,11.488
79,38.444,10.140,11.586,10.911,9.160,8.679,11.436,8.226,9.923,8.804,11.070,10.431,9.405
80,32.302,9.300,9.977,10.398,10.156,11.929,10.032,11.142,8.813,10.598,10.400,8.488,9.567
81,34.679,9.889,9.103,9.127,8.983,10.560,13.084,9.378,10.081,9.988,10.241,12.470,8.657
82,33.158,9.439,11.056,9.503,11.772,9.448,8.629,8.467,8.769,8.963,8.619,8.425,10.005
83,35.747,10.598,10.653,11.149,8.411,8.823,9.040,9.987,9.443,10.599,9.934,8.700,10.516
84,27.446,11.252,9.371,8.970,12.191,12.338,10.278,8.976,9.620,9.239,9.724,9.728,11.029
85,25.098,11.872,12.134,9.799,12.856,11.277,9.001,9.858,8.320,10.578,8.897,10.482,9.834
86,28.425,8.785,10.212,9.682,8.696,9.115,9.108,9.942,9.409,10.348,9.625,8.816,8.527
87,24.457,9.280,9.153,10.395,9.756,9.855,12.634,10.508,9.427,11.189,8.212,9.829,9.398
88,20.778,11.787,9.218,11.485,10.483,10.504,11.514,10.199,10.342,9.898,12.029,10.587,8.357
89,22.180,9.117,8.218,9.586,9.531,12.023,12.310,12.454,10.681,10.616,8.656,11.101,8.918
90,21.097,8.684,9.000,11.042,8.714,12.207,10.778,11.141,12.374,9.498,11.539,9.631,7.971
91,21.203,10.654,9.170,9.831,11.518,10.824,9.321,11.216,12.063,9.524,11.473,8.515,9.165
92,21.779,11.604,10.573,11.336,11.678,10.448,9.774,9.640,11.099,11.575,11.464,8.282,9.426
93,22.261,11.731,9.664,8.459,9.643,10.068,9.849,9.075,8.580,10.375,10.730,8.411,10.134
94,21.166,9.172,8.651,9.791,9.976,9.418,8.681,10.795,9.902,9.634,10.260,10.250,9.668
95,33.978,8.964,8.537,10.860,8.599,9.095,11.375,9.100,8.129,9.224,8.144,12.229,10.753
96,21.704,10.232,10.863,10.437,9.029,8.304,10.366,12.845,9.713,9.724,9.046,10.452,10.487
97,23.074,10.319,10.543,9.122,10.290,8.744,10.386,11.348,9.697,9.954,9.088,8.677,9.687
98,22.138,8.931,10.518,8.724,8.960,8.242,10.366,9.922,10.286,12.237,8.819,9.207,10.245
99,22.257,9.177,8.652,11.226,8.475,9.564,10.836,10.726,9.389,8.574,9.635,11.578,10.021
100,21.846,8.645,8.749,11.423,9.729,8.854,10.320,10.744,10.956,8.458,8.922,9.627,8.477
