#Frame Index,  Radius of gyration [pm]
359, 1723.8178
360, 1679.924
361, 1713.5491
362, 1732.5875
363, 1710.2728
364, 1729.5538
365, 1684.2766
366, 1766.9964
367, 1693.6155
368, 1706.209
369, 1748.569
370, 1732.7829
371, 1671.55
372, 1670.9102
373, 1702.4171
374, 1666.4685
375, 1689.4514
376, 1667.3418
377, 1669.5574
378, 1679.6879
379, 1671.706
380, 1697.5161
381, 1695.4268
382, 1750.1468
383, 1671.6776
384, 1693.2659
385, 1666.5336
386, 1647.3338
387, 1670.2975
388, 1771.6472
389, 1707.3867
390, 1738.7483
391, 1701.8272
392, 1715.4712
393, 1662.5459
394, 1609.9061
395, 1674.8988
396, 1706.6901
397, 1681.9009
398, 1709.2929
399, 1647.3858
400, 1618.9061
401, 1646.9766
402, 1680.1983
403, 1655.036
404, 1646.6355
405, 1711.5266
406, 1677.7872
407, 1662.247
408, 1685.1755
409, 1714.5894
410, 1662.2039
411, 1635.8138
412, 1700.697
413, 1655.0746
414, 1661.0595
415, 1667.0681
416, 1693.4975
417, 1695.4993
418, 1660.4816
419, 1756.323
420, 1646.374
421, 1644.7553
422, 1641.0798
423, 1624.0778
424, 1664.2697
425, 1664.3556
426, 1674.0314
427, 1684.9763
428, 1685.975
429, 1665.0516
430, 1628.9734
431, 1627.2775
432, 1639.0528
433, 1657.9012
434, 1634.2016
435, 1667.7367
436, 1672.841
437, 1631.1904
438, 1669.2064
439, 1660.8475
440, 1661.8271
441, 1688.1539
442, 1657.1762
443, 1641.1658
444, 1653.8927
445, 1631.9623
446, 1689.4008
447, 1635.0385
448, 1660.1092
449, 1646.7992
450, 1634.0129
451, 1603.9041
452, 1624.0929
453, 1642.4976
454, 1624.1866
455, 1608.9301
456, 1636.4169
457, 1613.4947
458, 1639.8058
459, 1692.4384
460, 1686.9683
461, 1637.846
462, 1649.8309
463, 1660.3533
464, 1637.5393
465, 1640.8132
466, 1746.7755
467, 1680.7761
468, 1663.4659
469, 1651.4191
470, 1664.4706
471, 1633.2319
472, 1645.1072
473, 1603.1487
474, 1605.3366
475, 1631.3496
476, 1620.4571
477, 1629.954
478, 1633.57
479, 1634.5739
480, 1661.86
481, 1593.9665
482, 1659.3991
483, 1679.936
484, 1632.2616
485, 1626.4103
486, 1622.297
487, 1637.6996
488, 1632.1552
489, 1666.4334
490, 1684.6331
491, 1645.5554
492, 1597.0099
493, 1612.9405
494, 1604.4479
495, 1617.6763
496, 1635.8913
497, 1641.1401
498, 1690.3148
499, 1667.2116
500, 1669.6184
501, 1611.7334
502, 1645.7312
503, 1624.4652
504, 1666.2914
505, 1654.822
506, 1605.5302
507, 1639.9629
508, 1636.2871
509, 1608.688
510, 1615.3678
511, 1609.9843
512, 1631.8996
513, 1648.8185
514, 1620.7368
515, 1654.6096
516, 1619.9948
517, 1603.2668
518, 1613.2913
519, 1638.4798
520, 1589.1142
521, 1589.8405
522, 1569.0965
523, 1610.3333
524, 1585.0655
525, 1647.8368
526, 1606.3781
527, 1583.6483
528, 1585.6692
529, 1609.8189
530, 1623.7959
531, 1585.0562
532, 1605.7063
533, 1638.5419
534, 1605.9392
535, 1668.7447
536, 1602.5935
537, 1602.109
538, 1655.4635
539, 1632.8595
540, 1593.7691
541, 1593.408
542, 1605.7739
543, 1617.6032
544, 1576.2344
545, 1601.3192
546, 1609.4402
547, 1603.2404
548, 1606.4042
549, 1609.4318
550, 1586.2651
551, 1611.3447
552, 1603.2686
553, 1617.764
554, 1593.059
555, 1618.5451
556, 1610.4831
557, 1650.9214
558, 1602.8593
559, 1626.9056
560, 1558.9421
561, 1604.4312
562, 1575.0029
563, 1601.6575
564, 1622.526
565, 1632.3165
566, 1584.3245
567, 1571.4988
568, 1613.0687
569, 1623.8302
570, 1633.5652
571, 1622.7814
572, 1610.4816
573, 1604.2679
574, 1615.8006
575, 1625.4717
576, 1598.6205
577, 1582.0631
578, 1562.4949
579, 1602.424
580, 1587.9097
581, 1578.6256
582, 1599.6792
583, 1580.5743
584, 1562.4597
585, 1571.0588
586, 1593.2298
587, 1579.9355
588, 1600.0823
589, 1573.5676
590, 1624.6895
591, 1597.5406
592, 1614.151
593, 1580.0598
594, 1586.9577
595, 1586.66
596, 1596.7301
597, 1595.1568
598, 1606.2142
599, 1560.935
600, 1596.6604
601, 1590.6012
602, 1583.3551
603, 1580.0561
604, 1554.8361
605, 1549.0526
606, 1566.5499
607, 1553.5328
608, 1569.8932
609, 1561.8483
610, 1595.6934
611, 1581.4849
612, 1608.2067
613, 1634.4011
614, 1572.5758
615, 1587.7332
616, 1605.2528
617, 1559.893
618, 1567.1407
619, 1571.467
620, 1537.0073
621, 1538.3719
622, 1561.8175
623, 1565.533
624, 1540.8621
625, 1560.6101
626, 1608.5086
627, 1575.8285
628, 1551.7427
629, 1570.0074
630, 1585.9183
631, 1577.7561
632, 1564.2564
633, 1554.1211
634, 1563.2393
635, 1590.8401
636, 1564.8033
637, 1572.6167
638, 1565.2888
639, 1561.5917
640, 1563.4872
641, 1544.9007
642, 1558.6934
643, 1546.8221
644, 1559.3479
645, 1556.8549
646, 1595.7664
647, 1546.1703
648, 1554.3232
649, 1583.8316
650, 1604.3109
651, 1578.7458
652, 1557.6301
653, 1549.6143
654, 1565.5466
655, 1534.5944
656, 1561.4114
657, 1561.144
658, 1558.3716
659, 1571.1478
660, 1539.127
661, 1537.5348
662, 1563.0826
663, 1578.0596
664, 1578.4422
665, 1562.7653
666, 1565.5866
667, 1556.9038
668, 1578.2678
669, 1568.5523
670, 1579.1392
671, 1574.9578
672, 1539.9522
673, 1543.0993
674, 1563.4988
675, 1567.8747
676, 1557.1013
677, 1569.6549
678, 1566.1873
679, 1543.3558
680, 1554.996
681, 1565.5748
682, 1549.9594
683, 1558.8858
