Frame, End-to-End Distance (subgraphs) / Å
0,35.470,14.724,19.268,13.886,17.400,23.404,20.821,13.521,27.036,5.001,36.495,26.139,20.081
1,6.666,22.763,8.806,40.705,21.217,26.385,23.797,11.354,18.171,28.184,39.985,7.296,21.222
2,14.800,31.793,28.721,13.212,31.243,25.090,39.714,12.794,16.229,24.739,25.393,33.377,5.338
3,28.190,26.457,18.999,36.556,14.396,18.965,24.687,25.500,25.265,36.585,12.831,19.971,29.151
4,31.828,10.644,24.938,18.847,30.467,14.745,16.531,24.230,17.175,17.676,20.079,19.225,16.623
5,14.108,7.469,15.038,36.994,32.184,18.353,14.490,23.291,24.464,14.309,21.033,28.707,24.055
6,7.312,30.406,25.114,10.155,23.031,27.401,21.543,25.721,24.761,25.047,21.012,10.589,23.030
7,20.253,20.327,27.094,35.655,36.235,16.835,23.186,9.327,23.193,25.930,11.845,21.614,15.912
8,16.083,19.961,28.666,24.311,13.212,17.413,6.357,30.475,12.107,30.031,18.875,18.939,26.002
9,18.225,15.944,7.443,19.453,16.208,18.738,19.603,20.756,25.308,18.574,15.047,27.881,26.513
10,14.459,9.467,32.566,30.861,10.679,14.642,29.831,12.985,10.459,23.755,28.762,26.352,24.443
11,14.868,23.311,19.403,18.864,22.575,25.710,8.945,26.448,40.685,31.591,13.639,34.118,19.071
12,16.815,13.711,16.526,14.783,11.972,27.066,25.872,20.977,30.524,18.518,27.435,26.047,21.619
13,23.320,17.826,26.122,21.621,10.883,31.690,15.218,31.015,18.243,10.825,10.121,15.485,13.537
14,30.176,27.380,30.780,8.877,18.800,17.997,23.391,24.080,8.055,36.668,19.151,15.796,22.984
15,29.302,19.413,26.178,29.246,20.317,16.437,26.425,22.800,15.664,15.202,38.334,19.244,5.173
16,21.951,23.045,8.581,31.102,20.073,14.068,15.474,14.125,20.348,19.512,17.480,30.400,13.094
17,21.415,19.450,23.311,27.261,33.592,13.394,35.663,30.096,21.092,21.136,21.105,11.577,17.096
18,34.376,32.989,35.932,41.775,34.210,10.944,6.506,19.856,15.838,8.666,14.831,36.915,8.219
19,29.478,12.557,29.905,15.969,23.504,26.922,22.013,17.503,14.108,23.591,20.133,26.138,26.323
20,29.214,15.893,27.988,22.622,15.541,29.257,21.981,24.557,6.664,7.754,20.212,29.599,16.501
21,24.500,30.309,22.376,34.423,22.405,27.538,15.655,28.439,20.941,10.160,26.307,14.182,33.098
22,27.688,14.845,10.694,19.348,13.978,24.645,20.268,20.098,16.989,21.123,14.846,27.659,7.282
23,6.617,27.624,6.085,18.488,17.883,32.005,14.758,22.946,27.733,13.001,10.969,23.563,36.017
24,18.168,22.891,14.458,12.677,24.127,6.116,24.407,11.058,3.723,30.310,17.197,24.617,9.044
25,13.391,26.119,27.012,30.554,13.320,13.423,26.096,26.940,20.013,24.461,25.912,23.768,16.956
26,8.166,25.149,38.861,19.414,19.773,10.773,6.479,17.460,36.953,38.604,23.334,24.331,8.166
27,15.964,32.431,26.220,24.670,15.914,20.288,5.490,11.725,5.017,13.378,29.322,16.655,21.208
28,39.315,16.759,9.941,12.852,14.444,33.435,13.845,18.717,27.901,20.344,15.324,24.224,15.918
29,28.624,18.063,21.067,29.554,28.966,7.872,12.609,18.749,3.867,33.353,35.593,27.566,23.123
30,32.513,38.648,31.903,30.452,33.096,16.946,22.041,25.787,15.359,23.818,13.704,15.212,22.639
31,28.925,12.197,17.727,27.373,20.866,20.839,27.240,23.719,34.772,21.933,28.206,28.199,23.099
32,25.779,23.898,24.550,29.284,15.271,30.636,25.485,5.980,12.107,28.562,20.586,21.873,21.844
33,38.442,22.887,24.730,30.855,13.308,27.362,5.529,18.748,22.978,7.875,31.455,36.443,33.089
34,17.766,35.437,32.766,12.119,33.685,16.555,15.212,30.543,21.250,23.753,13.348,35.776,23.044
35,23.183,34.204,17.845,13.615,38.014,12.047,31.248,21.413,16.083,8.624,20.308,21.600,40.175
36,7.235,23.769,31.663,21.088,16.159,19.681,16.471,18.192,26.611,31.336,34.788,27.197,22.733
37,38.184,10.573,30.494,30.587,21.666,10.738,13.595,27.263,19.426,21.340,23.431,32.915,20.860
38,29.204,20.772,21.248,27.396,14.725,10.181,15.608,18.723,15.519,28.493,28.190,24.506,22.387
39,12.030,13.320,20.619,9.081,38.373,8.716,21.216,7.655,18.174,9.881,22.166,25.377,14.803
40,18.983,21.650,15.832,33.951,13.152,17.068,28.776,4.309,18.325,29.411,26.835,25.845,30.175
41,21.851,28.679,17.932,22.265,33.418,22.445,29.084,24.201,12.474,23.896,8.274,36.978,15.826
42,26.265,26.095,24.442,35.631,26.150,17.639,21.911,24.847,30.186,20.057,22.934,26.974,10.941
43,11.788,27.713,16.062,15.676,30.791,30.352,19.833,13.724,26.767,21.359,20.587,21.068,20.877
44,18.690,16.012,28.354,5.799,24.076,26.754,16.500,21.133,31.085,14.874,15.798,16.443,9.353
45,23.711,37.273,33.422,12.143,16.781,33.800,16.172,41.957,31.475,26.211,16.322,28.164,25.398
46,25.159,32.489,14.237,39.586,25.424,16.599,24.890,8.062,23.533,15.799,21.181,26.477,29.616
47,17.006,19.477,3.972,21.142,19.687,30.693,23.126,32.626,29.917,30.118,25.883,8.148,14.279
48,24.129,34.869,27.095,20.608,27.352,22.635,15.285,22.385,35.983,36.419,13.114,22.427,21.776
