plastic, time, index, energy [kJ/mol]
N66, 20, 0, -13399678.192270663
N66, 20, 1, -13399767.396244982
N66, 20, 2, -13399665.688412882
N66, 20, 3, -13399655.250556063
N66, 20, 4, -13399809.526126256
N66, 20, 5, -13399613.69540414
N66, 20, 6, -13399612.859972619
N66, 20, 7, -13399530.888966465
N66, 20, 8, -13399612.183231007
N66, 20, 9, -13399671.952714024
N66, 20, 10, -13399672.82017302
N66, 20, 11, -13399602.999585154
N66, 20, 12, -13399735.07541965
N66, 20, 13, -13399644.250246728
N66, 20, 14, -13399673.907586899
N66, 20, 15, -13399724.644229973
N66, 20, 16, -13399537.299968792
N66, 20, 17, -13399637.011342218
N66, 20, 18, -13399613.178517198
N66, 20, 19, -13399738.315739347
N66, 20, 20, -13399625.99519658
N66, 20, 21, -13399684.005672816
N66, 20, 22, -13399669.976142365
N66, 20, 23, -13399575.498038132
N66, 20, 24, -13399475.390149096
N66, 20, 25, -13399470.28317993
N66, 20, 26, -13399680.816013869
N66, 20, 27, -13399670.077437326
N66, 20, 28, -13399534.30956117
N66, 20, 29, -13399805.548702164
N66, 20, 30, -13399429.376894392
N66, 20, 31, -13399586.159609511
N66, 20, 32, -13399603.473169822
N66, 20, 33, -13399726.581862086
N66, 20, 34, -13399601.59629576
N66, 20, 35, -13399661.212824097
N66, 20, 36, -13399668.100710265
N66, 20, 37, -13399724.998549419
N66, 20, 38, -13399665.598473297
N66, 20, 39, -13399659.244657557
N66, 20, 40, -13399610.07622394
N66, 20, 41, -13399566.602116644
N66, 20, 42, -13399720.85398562
N66, 20, 43, -13399669.941211134
N66, 20, 44, -13399684.013114788
N66, 20, 45, -13399597.903872862
N66, 20, 46, -13399601.647003464
N66, 20, 47, -13399460.592503883
N66, 20, 48, -13399658.411834542
N66, 20, 49, -13399796.745442176
