plastic,time,index,BP_xtb_geom energy [kJ/mol]
PS,20,0,-195050862.8897606
PS,20,1,-195050807.76530385
PS,20,2,-195050674.02667382
PS,20,3,-195050920.24706554
PS,20,4,-195050899.59405747
PS,20,5,-195050739.10775954
PS,20,6,-195050786.4337579
PS,20,7,-195050956.30473474
PS,20,8,-195050971.2812409
PS,20,9,-195050896.3227434
PS,20,10,-195050922.91389924
PS,20,11,-195050791.48130322
PS,20,12,-195050992.54338112
PS,20,13,-195051059.16053167
PS,20,14,-195051030.53022674
PS,20,15,-195050967.5272515
PS,20,16,-195050813.99348366
PS,20,17,-195050820.7388562
PS,20,18,-195050910.63102418
PS,20,19,-195050993.12820452
PS,20,20,-195050899.9710924
PS,20,21,-195050988.05258033
PS,20,22,-195050843.78797632
PS,20,23,-195050809.96408248
PS,20,24,-195050824.7476027
PS,20,25,-195050881.03961918
PS,20,26,-195050886.51493898
PS,20,27,-195050932.2644633
PS,20,28,-195050950.50762668
PS,20,29,-195050939.0361892
PS,20,30,-195050827.59134132
PS,20,31,-195051012.0288391
PS,20,32,-195050801.10156077
PS,20,33,-195051008.6001512
PS,20,34,-195050948.53962803
PS,20,35,-195050747.0204418
PS,20,36,-195050961.41653997
PS,20,37,-195050851.38569206
PS,20,38,-195050815.39223048
PS,20,39,-195050943.64380905
PS,20,40,-195050907.09824407
PS,20,41,-195051101.7379205
PS,20,42,-195050967.00517222
PS,20,43,-195050940.88844153
PS,20,44,-195050909.92971548
PS,20,45,-195050781.53645635
PS,20,46,-195050860.90887386
PS,20,47,-195051032.97859934
