#Frame Index,  Radius of gyration [pm]
0, 1485.0022
1, 1484.9258
2, 1477.3171
3, 1551.1386
4, 1530.8898
5, 1519.9456
6, 1477.5353
7, 1493.4397
8, 1495.3087
9, 1508.2561
10, 1471.8101
11, 1499.9523
12, 1517.8629
13, 1545.3454
14, 1491.7966
15, 1467.4427
16, 1510.527
17, 1489.5351
18, 1496.1572
19, 1505.7443
20, 1480.019
21, 1455.2037
22, 1483.2749
23, 1466.3032
24, 1509.6411
25, 1499.4962
26, 1497.0912
27, 1473.2283
28, 1510.5651
29, 1473.0157
30, 1499.2479
31, 1493.9172
32, 1488.3605
33, 1472.1684
34, 1525.2641
35, 1479.1609
36, 1477.1989
37, 1511.3581
38, 1498.5156
39, 1500.7225
40, 1488.5131
41, 1532.2945
42, 1464.0201
43, 1479.644
