Frame, Anisotropy Factor
0,0.021
1,0.035
2,0.009
3,0.140
4,0.075
5,0.062
6,0.023
7,0.046
8,0.033
9,0.053
10,0.009
11,0.041
12,0.071
13,0.091
14,0.041
15,0.003
16,0.039
17,0.020
18,0.043
19,0.045
20,0.007
21,0.006
22,0.028
23,0.004
24,0.046
25,0.056
26,0.036
27,0.017
28,0.054
29,0.008
30,0.054
31,0.026
32,0.036
33,0.018
34,0.041
35,0.009
36,0.021
37,0.043
38,0.027
39,0.048
40,0.023
41,0.077
42,0.010
43,0.023
