Frame, Order Parameter S
0,0.272
1,0.297
2,0.304
3,0.363
4,0.398
5,0.305
6,0.341
7,0.305
8,0.299
9,0.301
10,0.292
11,0.287
12,0.283
13,0.332
14,0.380
15,0.353
16,0.326
17,0.314
18,0.338
19,0.345
20,0.267
21,0.338
22,0.290
23,0.344
24,0.272
25,0.343
26,0.295
27,0.256
28,0.264
29,0.388
30,0.333
31,0.339
32,0.308
33,0.321
34,0.268
35,0.348
36,0.310
37,0.293
38,0.328
39,0.257
40,0.362
41,0.267
42,0.310
43,0.365
44,0.345
45,0.232
46,0.341
47,0.340
