plastic, time, index, energy [kJ/mol]
N66, 20, 0, -13398071.369778702
N66, 20, 1, -13398106.149153914
N66, 20, 2, -13398035.026694939
N66, 20, 3, -13397974.15942819
N66, 20, 4, -13398170.278520875
N66, 20, 5, -13397928.576798856
N66, 20, 6, -13397991.686920956
N66, 20, 7, -13397899.340932745
N66, 20, 8, -13398029.6890783
N66, 20, 9, -13398029.983675813
N66, 20, 10, -13398051.60025151
N66, 20, 11, -13397957.06339992
N66, 20, 12, -13398132.61089899
N66, 20, 13, -13398096.608034166
N66, 20, 14, -13398056.99187081
N66, 20, 15, -13398151.223256811
N66, 20, 16, -13397856.428247618
N66, 20, 17, -13398051.01795141
N66, 20, 18, -13398008.486135894
N66, 20, 19, -13398120.907346634
N66, 20, 20, -13397952.233692758
N66, 20, 21, -13398031.411030134
N66, 20, 22, -13398076.647721274
N66, 20, 23, -13397943.95866466
N66, 20, 24, -13397818.443290576
N66, 20, 25, -13397837.77176075
N66, 20, 26, -13398093.333296636
N66, 20, 27, -13398059.60189904
N66, 20, 28, -13397919.421135407
N66, 20, 29, -13398242.910283566
N66, 20, 30, -13397774.07100513
N66, 20, 31, -13397964.104118606
N66, 20, 32, -13397963.550442727
N66, 20, 33, -13398046.002719373
N66, 20, 34, -13398012.187928287
N66, 20, 35, -13398070.78142699
N66, 20, 36, -13398041.844428584
N66, 20, 37, -13398074.674909258
N66, 20, 38, -13398076.907440597
N66, 20, 39, -13397957.598863278
N66, 20, 40, -13397956.428941393
N66, 20, 41, -13397897.097378885
N66, 20, 42, -13398101.109727845
N66, 20, 43, -13398134.384642506
N66, 20, 44, -13398048.05831126
N66, 20, 45, -13397947.371810667
N66, 20, 46, -13397958.458301688
N66, 20, 47, -13397823.73125569
N66, 20, 48, -13398024.167661639
N66, 20, 49, -13398214.002053563
