Frame, End-to-End Distance (subgraphs) / Å
0,34.076,33.158,34.643,20.846,35.066,23.256,27.551,28.192,25.806
1,24.081,38.516,26.330,29.014,14.471,21.574,33.815,19.252,42.801
2,29.674,10.212,23.792,16.932,27.618,18.890,14.272,25.386,33.534
3,13.624,28.705,22.567,6.405,16.124,31.547,48.674,24.537,16.899
4,14.909,18.937,15.863,23.139,14.083,24.265,9.363,12.951,18.752
5,18.377,30.985,25.379,4.983,47.319,26.195,11.321,39.092,26.151
6,18.719,31.113,28.693,25.811,14.667,18.135,13.355,32.698,23.883
7,37.712,24.564,17.055,11.361,21.896,23.153,33.239,26.621,25.510
8,18.393,23.320,24.145,4.369,33.585,17.599,25.785,20.823,35.993
9,28.394,34.686,21.021,34.941,13.958,26.627,40.025,24.019,27.043
10,17.376,12.897,10.258,30.263,7.624,18.863,18.352,18.858,23.291
11,31.763,11.947,8.756,23.782,24.259,22.669,19.007,18.646,35.704
12,19.272,31.511,30.861,4.409,35.540,24.848,22.334,9.727,16.343
13,12.601,40.360,14.692,22.609,24.661,28.468,21.201,25.301,25.402
14,40.336,40.347,8.204,29.580,23.697,40.705,7.548,19.025,8.642
15,33.792,18.236,35.699,29.288,17.498,13.503,10.928,16.574,22.620
16,22.150,23.776,31.843,23.996,37.055,22.189,35.025,38.021,29.480
17,36.796,16.783,18.005,31.701,35.149,12.436,15.079,32.980,17.213
18,11.070,36.958,41.107,36.559,18.699,17.320,22.074,17.562,29.332
19,23.640,5.260,19.365,27.757,12.435,36.289,18.228,23.364,30.429
20,11.751,22.289,24.443,19.804,24.779,20.706,17.417,22.238,35.320
21,23.105,5.080,32.172,21.290,7.396,32.932,21.250,14.359,22.351
22,10.383,25.239,30.037,20.692,22.651,28.270,28.139,19.825,19.092
23,38.150,13.280,32.748,36.047,35.901,4.633,7.962,24.948,24.040
24,29.912,42.048,28.956,20.620,7.939,28.262,27.366,24.903,13.243
25,29.213,33.968,27.546,19.028,37.502,35.970,32.797,32.036,25.954
26,5.374,33.968,23.916,22.515,9.469,25.855,6.023,10.049,17.667
27,34.342,33.677,22.518,18.712,36.396,28.891,22.035,26.707,4.077
28,42.769,25.318,12.323,4.307,31.685,6.716,36.514,31.518,11.439
29,26.469,28.958,12.035,14.788,28.459,10.215,16.998,11.582,32.676
30,34.265,27.071,17.492,20.597,30.197,20.795,6.594,19.601,29.470
31,36.087,20.217,30.197,24.962,39.800,9.279,38.255,33.848,23.954
32,24.928,17.044,23.246,7.751,22.865,33.811,19.481,20.928,29.012
33,8.078,29.570,27.787,17.292,26.223,17.312,18.268,34.383,27.426
34,8.518,32.492,44.142,18.388,21.194,38.864,28.207,29.479,23.701
35,40.622,37.871,8.893,15.864,35.680,31.976,18.799,9.156,34.124
36,17.020,14.573,12.235,35.116,25.846,33.769,17.535,25.761,35.201
37,14.764,14.778,16.676,30.439,31.175,31.105,39.374,20.235,34.085
38,23.310,21.445,26.037,38.324,14.204,30.511,26.864,8.201,3.890
39,28.074,25.212,20.922,33.029,35.804,19.556,13.571,34.403,29.575
40,16.153,13.256,20.254,28.684,26.704,16.823,25.742,4.937,25.318
41,15.725,5.108,19.598,15.697,17.590,42.313,40.139,37.988,16.236
42,14.763,23.363,12.324,22.133,12.218,33.064,25.791,15.124,25.713
43,33.608,26.985,7.980,16.873,16.612,21.743,23.901,27.545,36.344
