Frame, Order Parameter S
0,0.471
1,0.491
2,0.424
3,0.440
4,0.512
5,0.394
6,0.520
7,0.481
8,0.475
9,0.439
10,0.497
11,0.495
12,0.439
13,0.446
14,0.422
15,0.429
16,0.421
17,0.398
18,0.394
19,0.428
20,0.452
21,0.441
22,0.445
23,0.436
24,0.495
25,0.411
26,0.467
27,0.450
28,0.396
29,0.419
30,0.404
31,0.464
32,0.475
33,0.497
34,0.497
35,0.487
36,0.398
37,0.383
38,0.445
39,0.422
40,0.392
41,0.466
42,0.395
43,0.479
44,0.417
45,0.427
46,0.434
47,0.439
48,0.477
49,0.401
50,0.469
51,0.484
52,0.447
53,0.459
54,0.370
55,0.444
56,0.435
57,0.411
58,0.435
59,0.439
60,0.450
61,0.451
62,0.450
63,0.443
64,0.427
65,0.432
66,0.391
67,0.435
68,0.344
69,0.461
70,0.419
71,0.387
72,0.440
73,0.452
74,0.416
75,0.491
76,0.455
77,0.449
78,0.480
79,0.457
80,0.472
81,0.475
82,0.421
83,0.413
84,0.396
85,0.363
86,0.485
87,0.477
88,0.514
89,0.404
90,0.420
91,0.516
92,0.473
93,0.478
94,0.435
95,0.433
96,0.442
97,0.409
98,0.411
99,0.432
100,0.466
101,0.453
102,0.426
103,0.390
104,0.379
105,0.418
106,0.394
107,0.537
108,0.447
109,0.446
110,0.482
111,0.480
112,0.482
113,0.464
114,0.480
115,0.446
116,0.351
117,0.376
118,0.422
119,0.435
120,0.432
121,0.396
122,0.369
123,0.333
124,0.348
125,0.363
126,0.372
127,0.398
128,0.352
129,0.400
130,0.409
131,0.440
132,0.401
133,0.470
134,0.407
135,0.430
136,0.364
137,0.454
138,0.376
139,0.446
140,0.414
141,0.437
142,0.422
143,0.479
144,0.422
145,0.456
146,0.351
147,0.403
148,0.381
149,0.335
150,0.454
151,0.429
152,0.452
153,0.413
154,0.513
155,0.334
156,0.372
157,0.377
158,0.336
159,0.446
160,0.403
161,0.442
162,0.432
163,0.455
164,0.363
165,0.435
166,0.352
167,0.372
168,0.483
169,0.406
170,0.353
171,0.386
172,0.421
173,0.506
174,0.445
175,0.460
176,0.435
177,0.385
