Frame, Asphericity Parameter
0,32.262
1,38.393
2,20.370
3,90.278
4,63.497
5,57.246
6,27.248
7,47.744
8,30.819
9,51.437
10,19.927
11,42.510
12,59.247
13,68.010
14,44.732
15,11.259
16,34.952
17,29.462
18,45.176
19,48.343
20,15.025
21,10.178
22,36.038
23,10.756
24,48.953
25,52.741
26,41.235
27,22.253
28,52.343
29,14.548
30,50.620
31,32.462
32,41.481
33,21.519
34,43.835
35,16.718
36,26.981
37,44.071
38,32.694
39,45.417
40,32.964
41,61.983
42,17.184
43,22.608
