Frame, Asphericity Parameter
0,28.104
1,42.843
2,32.828
3,26.171
4,32.755
5,37.957
6,15.469
7,35.408
8,28.175
9,13.017
10,51.107
11,18.948
12,22.719
13,41.453
14,25.871
15,28.498
16,18.830
17,31.916
18,13.612
19,15.223
20,30.594
21,24.157
22,31.490
23,7.847
24,25.612
25,13.344
26,41.844
27,30.418
28,29.418
29,42.860
30,21.966
31,21.036
32,17.961
33,25.030
34,22.644
35,36.173
36,15.548
37,31.491
38,20.228
39,45.781
40,28.257
41,26.092
42,33.545
43,53.017
44,22.589
45,25.063
46,14.750
47,27.651
48,53.266
49,20.950
50,28.066
