plastic, time, index, energy [kJ/mol]
PS, 50, 0, -13401145.282724902
PS, 50, 1, -13401132.085060561
PS, 50, 2, -13401171.060409164
PS, 50, 3, -13401138.335898025
PS, 50, 4, -13401152.51641347
PS, 50, 5, -13401192.34625838
PS, 50, 6, -13401169.799905455
PS, 50, 7, -13401164.875506984
PS, 50, 8, -13401139.51364908
PS, 50, 9, -13401227.387377601
PS, 50, 10, -13401140.36526648
PS, 50, 11, -13401086.302594721
PS, 50, 12, -13401129.391548501
PS, 50, 13, -13401201.92248318
PS, 50, 14, -13401169.71373582
PS, 50, 15, -13401106.734033424
PS, 50, 16, -13401170.913887199
PS, 50, 17, -13401200.055170435
PS, 50, 18, -13401228.533066956
PS, 50, 19, -13401112.00952943
PS, 50, 20, -13401135.417085057
PS, 50, 21, -13401178.12838123
PS, 50, 22, -13401218.328289952
PS, 50, 23, -13401081.573469145
PS, 50, 24, -13401170.517117571
PS, 50, 25, -13401178.234590024
PS, 50, 26, -13401135.560979566
PS, 50, 27, -13401275.054303257
PS, 50, 28, -13401138.821237274
PS, 50, 29, -13401220.986342646
PS, 50, 30, -13401178.031736117
PS, 50, 31, -13401176.652840508
PS, 50, 32, -13401118.921378044
PS, 50, 33, -13401138.497145327
PS, 50, 34, -13401160.336718611
PS, 50, 35, -13401233.596659513
PS, 50, 36, -13401158.915155841
PS, 50, 37, -13401182.042569105
PS, 50, 38, -13401095.47871185
PS, 50, 39, -13401152.9336994
PS, 50, 40, -13401204.067435386
PS, 50, 41, -13401243.327810174
PS, 50, 42, -13401124.428723184
PS, 50, 43, -13401171.886355367
PS, 50, 44, -13401124.768446235
PS, 50, 45, -13401152.121630218
PS, 50, 46, -13401123.523419173
PS, 50, 47, -13401199.173816305
PS, 50, 48, -13401157.711606149
PS, 50, 49, -13401190.256426157
