plastic,time,index,aSurf[A^2],aVol[A^3]
N66,20,0,9096.0582221603454,38260.798635059786
N66,20,1,9162.0442788293622,38457.768172022843
N66,20,2,8839.8917401039889,38198.623514129242
N66,20,3,9274.1000551061024,38534.401014390896
N66,20,4,8843.5830008083976,38112.515452719133
N66,20,5,9224.0545791575296,38512.311776863920
N66,20,6,8970.7351892947354,38240.207229137115
N66,20,7,9145.5927741103660,38354.820978366915
N66,20,8,8814.7824915102901,38172.674083010868
N66,20,9,9194.5094376167817,38360.035944517214
N66,20,10,8819.8750582368702,38143.484531881411
N66,20,11,9423.2770794423595,38465.911214652995
N66,20,12,8804.2290055890207,38030.651792201461
N66,20,13,9070.1079198165444,38161.566620266000
N66,20,14,9152.9582739264806,38351.760975510275
N66,20,15,8934.0770097816767,38183.943984323283
N66,20,16,9089.2476692135133,38477.596427304816
N66,20,17,8904.6502686731365,38137.656420231033
N66,20,18,8856.8933752048688,38108.152677914892
N66,20,19,9245.4472747996024,38418.918936397080
N66,20,20,9289.2451284704293,38566.464119481490
N66,20,21,9191.1594997209795,38348.651398984694
N66,20,22,8638.9698811058170,38136.178826114177
N66,20,23,8676.6093568831729,38076.177311370273
N66,20,24,9006.0072073411029,38137.610424317085
N66,20,25,9188.4185193676240,38539.108925042565
N66,20,26,9028.1628646295048,38386.760969648632
N66,20,27,8892.4039712901194,38139.386107128375
N66,20,28,8847.4128583005149,38181.430909117815
N66,20,29,8742.5172272479122,38093.807954419644
N66,20,30,8593.8881455066567,38046.566628110784
N66,20,31,9060.7217478624952,38448.916115644526
N66,20,32,9135.3144292143788,38417.755559111582
N66,20,33,9062.6020985201576,38336.011410850151
N66,20,34,8671.8605808933389,37975.643589195664
N66,20,35,9210.3934255156582,38371.838027757272
N66,20,36,8962.0381366652600,38299.269078700629
N66,20,37,9038.8833719424038,38240.964390693982
N66,20,38,8863.4425220436369,38172.606375271920
N66,20,39,9120.3322167002971,38469.585972051362
N66,20,40,8993.7296928888300,38412.625735528236
N66,20,41,9199.0138640182395,38412.684173829890
N66,20,42,9021.1104650211109,38346.472779750307
N66,20,43,8964.4177319220362,38006.057672335002
N66,20,44,8958.5265612614294,38356.151617584219
N66,20,45,9122.3106664953266,38447.566160772731
N66,20,46,9102.9737518381753,38404.566789243770
N66,20,47,9140.1269199789931,38526.563859941307
N66,20,48,8853.3987384760349,38247.915417540527
N66,20,49,8760.6184951887753,38177.118655625716
