Frame, Anisotropy Factor
0,0.005
1,0.018
2,0.031
3,0.010
4,0.038
5,0.026
6,0.023
7,0.039
8,0.015
9,0.020
10,0.018
11,0.022
12,0.005
13,0.002
14,0.043
15,0.007
16,0.025
17,0.012
18,0.023
19,0.003
20,0.022
21,0.035
22,0.015
23,0.061
24,0.007
25,0.068
26,0.012
27,0.017
28,0.014
29,0.013
30,0.019
31,0.022
32,0.008
33,0.017
34,0.059
35,0.015
36,0.012
37,0.022
38,0.072
39,0.010
40,0.048
41,0.005
42,0.023
43,0.016
44,0.026
45,0.025
46,0.046
47,0.039
