Frame, Anisotropy Factor
0,0.018
1,0.038
2,0.009
3,0.031
4,0.038
5,0.045
6,0.020
7,0.044
8,0.031
9,0.018
10,0.041
11,0.009
12,0.017
13,0.035
14,0.009
15,0.033
16,0.008
17,0.010
18,0.034
19,0.029
20,0.011
21,0.036
22,0.016
23,0.045
24,0.034
25,0.012
26,0.007
27,0.008
28,0.019
29,0.004
30,0.014
31,0.018
32,0.023
33,0.055
34,0.010
35,0.033
36,0.040
37,0.008
38,0.013
39,0.060
40,0.014
41,0.034
42,0.048
43,0.017
44,0.031
45,0.034
46,0.032
47,0.037
48,0.023
49,0.014
