#Frame Index,  Radius of gyration [pm]
0, 1523.9403
1, 1476.2669
2, 1555.8726
3, 1487.801
4, 1443.9245
5, 1484.9175
6, 1634.9347
7, 1511.0926
8, 1518.0363
9, 1459.5257
10, 1469.4206
11, 1497.7887
12, 1456.5895
13, 1508.0314
14, 1459.2127
15, 1460.6897
16, 1504.5599
17, 1492.5781
18, 1457.5061
19, 1482.9888
20, 1547.7843
21, 1463.1087
22, 1465.6956
23, 1489.0325
24, 1471.0752
25, 1520.0838
26, 1468.8759
27, 1455.1089
28, 1585.607
29, 1453.3424
30, 1468.6716
31, 1560.5672
32, 1512.0736
33, 1477.227
34, 1456.9133
35, 1499.8498
36, 1512.9512
37, 1468.5487
38, 1466.7675
39, 1463.0104
40, 1495.0033
41, 1465.3346
42, 1484.6052
43, 1493.609
44, 1469.9693
45, 1510.7116
46, 1503.4117
47, 1485.301
48, 1448.3591
49, 1459.1311
