#Frame Index,  Radius of gyration [pm]
0, 1596.2394
1, 1607.3731
2, 1584.4705
3, 1654.986
4, 1568.4844
5, 1586.7462
6, 1569.5633
7, 1576.8705
8, 1560.4958
9, 1597.0234
10, 1561.7165
11, 1583.673
12, 1570.6465
13, 1582.5192
14, 1571.9173
15, 1578.6455
16, 1615.53
17, 1565.9401
18, 1569.7234
19, 1588.8131
20, 1585.838
21, 1592.0929
22, 1568.3076
23, 1573.5048
24, 1566.5401
25, 1594.1659
26, 1565.5167
27, 1571.5054
28, 1580.849
29, 1560.4024
30, 1564.3303
31, 1574.7379
32, 1571.4699
33, 1568.4301
34, 1571.9285
35, 1588.1708
36, 1567.6032
37, 1582.5636
38, 1571.9703
39, 1583.0719
40, 1578.768
41, 1578.4652
42, 1590.2978
43, 1589.6599
44, 1580.3827
45, 1573.5549
46, 1580.5095
47, 1598.4331
48, 1562.0659
49, 1561.1772
