plastic,time,index,BP_xtb_geom energy [kJ/mol]
PP,50,0,-120718517.63942865
PP,50,1,-120718590.77566718
PP,50,2,-120718618.80520011
PP,50,3,-120718497.08711475
PP,50,4,-120718554.81057072
PP,50,5,-120718612.7624849
PP,50,6,-120718641.67637488
PP,50,7,-120718533.92176539
PP,50,8,-120718515.02694984
PP,50,9,-120718623.5023188
PP,50,10,-120718764.40679081
PP,50,11,-120718649.87493084
PP,50,12,-120718648.83438243
PP,50,13,-120718552.6555641
PP,50,14,-120718538.54313678
PP,50,15,-120718541.13268419
PP,50,16,-120718611.78246756
PP,50,17,-120718676.94974616
PP,50,18,-120718624.04340401
PP,50,19,-120718608.74035865
PP,50,20,-120718474.49132772
PP,50,21,-120718623.54035413
PP,50,22,-120718577.74534306
PP,50,23,-120718652.35483165
PP,50,24,-120718644.8442582
PP,50,25,-120718660.96974428
PP,50,26,-120718579.2866564
PP,50,27,-120718690.86744894
PP,50,28,-120718598.45909365
PP,50,29,-120718653.73156697
PP,50,30,-120718641.85712689
PP,50,31,-120718555.44720109
PP,50,32,-120718557.67350204
PP,50,33,-120718682.23395512
PP,50,34,-120718590.56752336
PP,50,35,-120718686.75931866
PP,50,36,-120718630.48732807
PP,50,37,-120718677.0070035
PP,50,38,-120718579.2989101
PP,50,39,-120718486.2711163
PP,50,40,-120718513.93014096
PP,50,41,-120718600.05483657
PP,50,42,-120718665.5931453
PP,50,43,-120718545.43042251
PP,50,44,-120718666.92230548
PP,50,45,-120718629.9721885
PP,50,46,-120718670.54603791
PP,50,47,-120718664.55483545
PP,50,48,-120718662.25190581
