Frame, Element Type, H-Acceptor dist / Å, Donor-Acceptor dist / Å, Angle cutoff / °, Number of Hydrogen Bonds
0,O,2.500,3.500,30.000,166
1,O,2.500,3.500,30.000,174
2,O,2.500,3.500,30.000,153
3,O,2.500,3.500,30.000,158
4,O,2.500,3.500,30.000,161
5,O,2.500,3.500,30.000,157
6,O,2.500,3.500,30.000,163
7,O,2.500,3.500,30.000,156
8,O,2.500,3.500,30.000,163
9,O,2.500,3.500,30.000,167
10,O,2.500,3.500,30.000,163
11,O,2.500,3.500,30.000,159
12,O,2.500,3.500,30.000,169
13,O,2.500,3.500,30.000,163
14,O,2.500,3.500,30.000,166
15,O,2.500,3.500,30.000,158
16,O,2.500,3.500,30.000,162
17,O,2.500,3.500,30.000,164
18,O,2.500,3.500,30.000,158
19,O,2.500,3.500,30.000,167
20,O,2.500,3.500,30.000,158
21,O,2.500,3.500,30.000,163
22,O,2.500,3.500,30.000,157
23,O,2.500,3.500,30.000,155
24,O,2.500,3.500,30.000,159
25,O,2.500,3.500,30.000,164
26,O,2.500,3.500,30.000,171
27,O,2.500,3.500,30.000,164
28,O,2.500,3.500,30.000,161
29,O,2.500,3.500,30.000,164
30,O,2.500,3.500,30.000,158
31,O,2.500,3.500,30.000,158
32,O,2.500,3.500,30.000,160
33,O,2.500,3.500,30.000,161
34,O,2.500,3.500,30.000,160
35,O,2.500,3.500,30.000,164
36,O,2.500,3.500,30.000,156
37,O,2.500,3.500,30.000,163
38,O,2.500,3.500,30.000,171
39,O,2.500,3.500,30.000,160
40,O,2.500,3.500,30.000,171
41,O,2.500,3.500,30.000,155
42,O,2.500,3.500,30.000,170
43,O,2.500,3.500,30.000,162
44,O,2.500,3.500,30.000,162
45,O,2.500,3.500,30.000,167
46,O,2.500,3.500,30.000,161
47,O,2.500,3.500,30.000,156
48,O,2.500,3.500,30.000,158
49,O,2.500,3.500,30.000,164
