plastic,time,index,BP_xtb_geom energy [kJ/mol]
N66,50,0,-191970847.05873904
N66,50,1,-191970919.0353812
N66,50,2,-191971000.687893
N66,50,3,-191970587.74473572
N66,50,4,-191970858.5883407
N66,50,5,-191970769.86095577
N66,50,6,-191971049.45111418
N66,50,7,-191970893.8399981
N66,50,8,-191970821.06740943
N66,50,9,-191971110.2296963
N66,50,10,-191970946.96250415
N66,50,11,-191970774.21261558
N66,50,12,-191971097.43146318
N66,50,13,-191970777.34796032
N66,50,14,-191970832.62373874
N66,50,15,-191970689.86232775
N66,50,16,-191970934.3452676
N66,50,17,-191970991.09404325
N66,50,18,-191971130.12702098
N66,50,19,-191970719.57851163
N66,50,20,-191971007.79227343
N66,50,21,-191971159.72748417
N66,50,22,-191970728.53832516
N66,50,23,-191970983.83944142
N66,50,24,-191970972.3468428
N66,50,25,-191970826.66432482
N66,50,26,-191970706.14221275
N66,50,27,-191970916.2221318
N66,50,28,-191970987.17726007
N66,50,29,-191970979.4501195
N66,50,30,-191970785.01014078
N66,50,31,-191971024.76216358
N66,50,32,-191971123.9017432
N66,50,33,-191971120.40411517
N66,50,34,-191970788.4683018
N66,50,35,-191970656.20799285
N66,50,36,-191971072.31100294
N66,50,37,-191971057.49540225
N66,50,38,-191971029.31289592
N66,50,39,-191971174.02411738
N66,50,40,-191971097.00658563
N66,50,41,-191970899.26123288
N66,50,42,-191970908.79103106
N66,50,43,-191970786.9780802
N66,50,44,-191970966.82657802
N66,50,45,-191970764.84736514
N66,50,46,-191970770.1575763
N66,50,47,-191971046.42015463
N66,50,48,-191971136.61740488
N66,50,49,-191971175.85440165
N66,50,50,-191971215.9046597
