Frame,Cis count,Trans count
0,334,420
1,326,428
2,331,423
3,320,434
4,325,429
5,328,426
6,335,419
7,329,425
8,321,433
9,321,433
10,327,427
11,327,427
12,325,429
13,314,440
14,329,425
15,322,432
16,311,443
17,330,424
18,327,427
19,324,430
20,317,437
21,326,428
22,328,426
23,336,418
24,323,431
25,332,422
26,324,430
27,343,411
28,324,430
29,330,424
30,325,429
31,323,431
32,320,434
33,324,430
34,316,438
35,327,427
36,333,421
37,328,426
38,326,428
39,317,437
40,325,429
41,325,429
42,325,429
43,321,433
44,329,425
45,328,426
46,329,425
47,335,419
48,326,428
