plastic, epsilon, index, energy [kJ/mol]
N66, 40, 0, -3.0798113e+04
N66, 40, 1, -3.0688686e+04
N66, 40, 2, -3.0853480e+04
N66, 40, 3, -3.0973045e+04
N66, 40, 4, -3.0894285e+04
N66, 40, 5, -3.0969451e+04
N66, 40, 6, -3.0982871e+04
N66, 40, 7, -3.0465971e+04
N66, 40, 8, -3.0851039e+04
N66, 40, 9, -3.0746816e+04
N66, 40, 10, -3.0895684e+04
N66, 40, 11, -3.0935646e+04
N66, 40, 12, -3.0940695e+04
N66, 40, 13, -3.1021631e+04
N66, 40, 14, -3.0695998e+04
N66, 40, 15, -3.0905461e+04
N66, 40, 16, -3.0974420e+04
N66, 40, 17, -3.0989346e+04
N66, 40, 18, -3.0785934e+04
N66, 40, 19, -3.1005207e+04
N66, 40, 20, -3.0939152e+04
N66, 40, 21, -3.0871023e+04
N66, 40, 22, -3.0975346e+04
N66, 40, 23, -3.1136025e+04
N66, 40, 24, -3.0905047e+04
N66, 40, 25, -3.0979014e+04
N66, 40, 26, -3.0747365e+04
N66, 40, 27, -3.0908080e+04
N66, 40, 28, -3.0956902e+04
N66, 40, 29, -3.0825930e+04
N66, 40, 30, -3.0812238e+04
N66, 40, 31, -3.0985416e+04
N66, 40, 32, -3.0940637e+04
N66, 40, 33, -3.0913205e+04
N66, 40, 34, -3.0888967e+04
N66, 40, 35, -3.0951770e+04
N66, 40, 36, -3.1009062e+04
N66, 40, 37, -3.0923727e+04
N66, 40, 38, -3.1055904e+04
N66, 40, 39, -3.0898895e+04
N66, 40, 40, -3.1058988e+04
N66, 40, 41, -3.0867611e+04
N66, 40, 42, -3.0807592e+04
N66, 40, 43, -3.1007885e+04
N66, 40, 44, -3.0892645e+04
N66, 40, 45, -3.0867922e+04
N66, 40, 46, -3.0684908e+04
N66, 40, 47, -3.0844107e+04
N66, 40, 48, -3.1025479e+04
