plastic, time, index, energy [kJ/mol]
N66, 20, 0, -3.0749291e+04
N66, 20, 1, -3.0833762e+04
N66, 20, 2, -3.0699561e+04
N66, 20, 3, -3.0511580e+04
N66, 20, 4, -3.0937877e+04
N66, 20, 5, -3.0658229e+04
N66, 20, 6, -3.0788100e+04
N66, 20, 7, -3.0427514e+04
N66, 20, 8, -3.0438469e+04
N66, 20, 9, -3.0766121e+04
N66, 20, 10, -3.0847502e+04
N66, 20, 11, -3.0389719e+04
N66, 20, 12, -3.0826076e+04
N66, 20, 13, -3.0581707e+04
N66, 20, 14, -3.0659322e+04
N66, 20, 15, -3.0578664e+04
N66, 20, 16, -3.0686551e+04
N66, 20, 17, -3.0735088e+04
N66, 20, 18, -3.0641146e+04
N66, 20, 19, -3.0761621e+04
N66, 20, 20, -3.0632689e+04
N66, 20, 21, -3.0819643e+04
N66, 20, 22, -3.0744441e+04
N66, 20, 23, -3.0939670e+04
N66, 20, 24, -3.0604074e+04
N66, 20, 25, -3.0459418e+04
N66, 20, 26, -3.0947266e+04
N66, 20, 27, -3.0743004e+04
N66, 20, 28, -3.0703521e+04
N66, 20, 29, -3.0996232e+04
N66, 20, 30, -3.0674793e+04
N66, 20, 31, -3.0684232e+04
N66, 20, 32, -3.0831254e+04
N66, 20, 33, -3.0945338e+04
N66, 20, 34, -3.0713262e+04
N66, 20, 35, -3.0824975e+04
N66, 20, 36, -3.0742195e+04
N66, 20, 37, -3.0939492e+04
N66, 20, 38, -3.0897494e+04
N66, 20, 39, -3.0804641e+04
N66, 20, 40, -3.0709740e+04
N66, 20, 41, -3.0708742e+04
N66, 20, 42, -3.0777627e+04
N66, 20, 43, -3.0906275e+04
N66, 20, 44, -3.0659691e+04
N66, 20, 45, -3.0653848e+04
N66, 20, 46, -3.0585457e+04
N66, 20, 47, -3.0627262e+04
N66, 20, 48, -3.0937252e+04
N66, 20, 49, -3.1014123e+04
