Frame, Asphericity Parameter
0,15.934
1,21.660
2,48.904
3,22.077
4,48.543
5,42.467
6,25.078
7,50.396
8,31.145
9,34.297
10,23.458
11,33.940
12,13.599
13,11.721
14,49.788
15,20.819
16,37.012
17,26.693
18,37.532
19,13.019
20,39.673
21,46.130
22,27.921
23,67.745
24,22.463
25,66.763
26,29.248
27,25.782
28,23.536
29,22.499
30,32.944
31,39.336
32,21.849
33,27.862
34,65.321
35,23.819
36,28.016
37,36.626
38,72.748
39,24.443
40,60.861
41,15.881
42,41.477
43,34.763
44,36.772
45,38.481
46,55.488
47,54.439
