Frame, Order Parameter S
0,0.419
1,0.373
2,0.318
3,0.378
4,0.394
5,0.330
6,0.376
7,0.370
8,0.402
9,0.288
10,0.335
11,0.434
12,0.293
13,0.378
14,0.360
15,0.369
16,0.427
17,0.301
18,0.423
19,0.348
20,0.387
21,0.399
22,0.354
23,0.395
24,0.347
25,0.358
26,0.356
27,0.375
28,0.370
29,0.401
30,0.380
31,0.386
32,0.360
33,0.384
34,0.387
35,0.418
36,0.382
37,0.320
38,0.382
39,0.326
40,0.393
41,0.388
42,0.361
43,0.363
44,0.320
45,0.371
46,0.408
47,0.360
48,0.320
49,0.348
50,0.343
51,0.384
52,0.321
53,0.357
54,0.365
55,0.400
56,0.365
57,0.327
58,0.296
59,0.325
60,0.337
61,0.391
62,0.407
63,0.279
64,0.322
65,0.357
66,0.270
67,0.358
68,0.356
69,0.335
70,0.318
71,0.260
72,0.318
73,0.295
74,0.270
75,0.306
76,0.293
77,0.296
78,0.272
79,0.289
80,0.303
81,0.285
82,0.310
83,0.336
84,0.323
85,0.296
86,0.292
87,0.322
88,0.340
89,0.379
90,0.275
91,0.375
92,0.346
93,0.344
94,0.280
95,0.328
96,0.302
97,0.276
98,0.270
99,0.293
100,0.303
101,0.307
102,0.270
103,0.283
104,0.286
105,0.307
106,0.296
107,0.319
108,0.357
109,0.264
110,0.347
111,0.269
112,0.272
113,0.288
114,0.302
115,0.293
116,0.330
117,0.320
118,0.278
119,0.326
120,0.287
121,0.282
122,0.270
123,0.229
124,0.290
125,0.261
126,0.291
127,0.239
128,0.348
129,0.252
130,0.268
131,0.236
132,0.264
133,0.293
134,0.319
135,0.310
136,0.296
137,0.321
138,0.323
139,0.353
140,0.309
141,0.338
142,0.239
143,0.301
144,0.260
145,0.302
146,0.260
147,0.297
148,0.266
149,0.291
150,0.323
151,0.299
152,0.297
153,0.223
154,0.286
155,0.373
156,0.305
157,0.248
158,0.311
159,0.294
160,0.256
161,0.251
162,0.320
163,0.228
164,0.250
165,0.329
166,0.270
167,0.219
168,0.190
169,0.235
170,0.282
171,0.270
172,0.349
173,0.234
174,0.241
175,0.260
176,0.285
177,0.329
178,0.315
179,0.284
180,0.250
181,0.280
182,0.263
183,0.222
184,0.253
185,0.214
186,0.202
187,0.191
188,0.238
189,0.249
190,0.305
191,0.226
192,0.282
193,0.241
194,0.315
195,0.261
196,0.278
197,0.284
198,0.278
199,0.258
200,0.255
201,0.194
202,0.234
203,0.296
204,0.225
205,0.302
206,0.280
207,0.297
208,0.287
209,0.219
210,0.224
211,0.298
212,0.262
213,0.329
214,0.300
215,0.259
216,0.248
217,0.310
218,0.280
219,0.247
220,0.272
221,0.249
222,0.266
223,0.275
224,0.249
225,0.266
226,0.259
227,0.341
228,0.251
229,0.246
230,0.269
231,0.253
232,0.204
233,0.240
234,0.299
235,0.225
236,0.263
237,0.248
238,0.254
239,0.231
240,0.199
241,0.259
242,0.209
243,0.262
244,0.281
245,0.276
246,0.206
247,0.262
248,0.247
249,0.274
250,0.251
251,0.189
252,0.290
253,0.247
254,0.244
255,0.270
256,0.246
257,0.286
258,0.260
259,0.231
260,0.307
261,0.262
262,0.292
263,0.302
264,0.191
265,0.248
266,0.260
267,0.208
268,0.225
269,0.245
270,0.314
271,0.243
272,0.246
273,0.234
274,0.183
275,0.267
276,0.264
277,0.224
278,0.242
279,0.265
280,0.284
281,0.232
282,0.212
283,0.252
284,0.299
285,0.268
286,0.225
287,0.206
288,0.198
289,0.213
290,0.232
291,0.211
292,0.300
293,0.257
294,0.291
295,0.277
296,0.291
297,0.269
298,0.244
299,0.246
300,0.219
301,0.232
302,0.222
303,0.240
304,0.278
305,0.217
306,0.306
307,0.242
308,0.243
309,0.239
310,0.299
311,0.259
312,0.251
313,0.240
314,0.224
315,0.228
316,0.256
317,0.200
318,0.261
319,0.248
320,0.236
321,0.223
322,0.276
323,0.249
324,0.208
325,0.235
326,0.197
327,0.246
328,0.275
329,0.229
330,0.279
331,0.231
332,0.267
333,0.275
334,0.227
335,0.276
336,0.297
337,0.282
338,0.273
339,0.261
340,0.220
341,0.203
342,0.214
343,0.240
344,0.207
345,0.246
346,0.228
347,0.258
348,0.255
349,0.247
350,0.282
351,0.195
352,0.259
353,0.202
354,0.232
355,0.271
356,0.338
357,0.231
358,0.245
359,0.222
360,0.281
361,0.200
362,0.236
363,0.262
364,0.280
365,0.274
366,0.279
367,0.257
368,0.298
369,0.196
370,0.268
371,0.244
372,0.236
373,0.239
374,0.222
375,0.238
376,0.195
377,0.178
378,0.204
379,0.272
380,0.200
