Frame, Asphericity Parameter
0,58.624
1,54.470
2,37.317
3,97.575
4,22.404
5,26.057
6,28.316
7,18.610
8,18.230
9,49.897
10,19.299
11,27.939
12,16.331
13,35.646
14,21.784
15,42.283
16,65.449
17,26.611
18,24.057
19,36.140
20,23.387
21,41.716
22,24.726
23,24.344
24,28.406
25,27.552
26,11.397
27,15.624
28,30.529
29,19.023
30,17.067
31,25.289
32,11.275
33,10.040
34,36.003
35,37.088
36,24.880
37,35.961
38,37.283
39,34.828
40,27.959
41,20.845
42,28.014
43,41.915
44,24.824
45,16.312
46,18.557
47,50.825
48,22.977
49,12.662
