Frame, Anisotropy Factor
0,0.008
1,0.022
2,0.036
3,0.013
4,0.023
5,0.022
6,0.018
7,0.020
8,0.038
9,0.034
10,0.009
11,0.019
12,0.015
13,0.010
14,0.009
15,0.008
16,0.025
17,0.019
18,0.032
19,0.028
20,0.020
21,0.004
22,0.003
23,0.032
24,0.021
25,0.027
26,0.038
27,0.013
28,0.015
29,0.010
30,0.023
31,0.012
32,0.004
33,0.019
34,0.009
35,0.006
36,0.014
37,0.022
38,0.018
39,0.017
40,0.036
41,0.020
42,0.019
43,0.023
44,0.010
45,0.016
46,0.011
47,0.007
48,0.033
