Frame, Anisotropy Factor
0,0.023
1,0.036
2,0.032
3,0.016
4,0.028
5,0.030
6,0.008
7,0.034
8,0.023
9,0.008
10,0.051
11,0.013
12,0.021
13,0.034
14,0.013
15,0.015
16,0.007
17,0.020
18,0.008
19,0.007
20,0.020
21,0.011
22,0.017
23,0.002
24,0.013
25,0.005
26,0.034
27,0.018
28,0.019
29,0.042
30,0.018
31,0.008
32,0.006
33,0.013
34,0.011
35,0.029
36,0.005
37,0.019
38,0.011
39,0.039
40,0.016
41,0.015
42,0.026
43,0.049
44,0.012
45,0.013
46,0.012
47,0.018
48,0.057
49,0.016
50,0.017
