Frame,Cis count,Trans count
0,204,312
1,199,317
2,191,325
3,172,344
4,193,323
5,183,333
6,189,327
7,183,333
8,187,329
9,180,336
10,196,320
11,204,312
12,197,319
13,188,328
14,180,336
15,183,333
16,186,330
17,203,313
18,183,333
19,191,325
20,183,333
21,186,330
22,168,348
23,207,309
24,188,328
25,187,329
26,190,326
27,187,329
28,185,331
29,168,348
30,178,338
31,191,325
32,184,332
33,207,309
34,194,322
35,181,335
36,190,326
37,195,321
38,196,320
39,196,320
40,194,322
41,190,326
42,202,314
43,173,343
44,192,324
45,180,336
46,189,327
47,194,322
48,176,340
49,192,324
