#Frame Index,  Radius of gyration [pm]
0, 1537.5018
1, 1491.1804
2, 1571.8899
3, 1509.9176
4, 1466.814
5, 1505.3395
6, 1650.3215
7, 1527.0076
8, 1532.5856
9, 1481.2429
10, 1487.9823
11, 1515.498
12, 1478.6182
13, 1525.5149
14, 1480.0924
15, 1483.9692
16, 1524.8286
17, 1513.035
18, 1480.0657
19, 1503.502
20, 1565.487
21, 1476.6861
22, 1482.6463
23, 1510.1984
24, 1493.8561
25, 1536.2723
26, 1489.9903
27, 1476.8687
28, 1600.0207
29, 1476.9343
30, 1489.7169
31, 1575.098
32, 1529.4881
33, 1496.0239
34, 1478.7544
35, 1519.6844
36, 1530.2928
37, 1487.8299
38, 1487.8296
39, 1484.8605
40, 1509.5738
41, 1485.8929
42, 1498.9108
43, 1513.0441
44, 1492.1899
45, 1531.8272
46, 1522.2794
47, 1505.7849
48, 1470.7287
49, 1478.7857
