#Frame Index,  Radius of gyration [pm]
0, 1647.3678
1, 1659.9022
2, 1665.8365
3, 1654.4201
4, 1675.9108
5, 1678.1233
6, 1666.2845
7, 1669.821
8, 1661.2685
9, 1651.4396
10, 1660.6531
11, 1657.1168
12, 1637.4646
13, 1641.8573
14, 1666.0517
15, 1673.2751
16, 1673.7823
17, 1665.0221
18, 1646.0444
19, 1637.353
20, 1664.0374
21, 1668.1791
22, 1671.5497
23, 1703.2044
24, 1643.2155
25, 1716.8734
26, 1647.3041
27, 1655.6687
28, 1667.5236
29, 1643.4136
30, 1657.2903
31, 1649.4881
32, 1641.1848
33, 1651.7621
34, 1684.8968
35, 1658.1668
36, 1651.5266
37, 1676.7269
38, 1698.9909
39, 1636.4265
40, 1685.0164
41, 1640.5086
42, 1657.8086
43, 1662.8394
44, 1663.5288
45, 1673.6533
46, 1675.8994
47, 1665.3986
