plastic, time, index, energy [kJ/mol]
PE, 20, 0, -1.9016519e+03
PE, 20, 1, -2.1869849e+03
PE, 20, 2, -2.0610190e+03
PE, 20, 3, -2.3750010e+03
PE, 20, 4, -1.8538750e+03
PE, 20, 5, -2.2423652e+03
PE, 20, 6, -2.2443662e+03
PE, 20, 7, -2.1761899e+03
PE, 20, 8, -2.1366699e+03
PE, 20, 9, -2.2092664e+03
PE, 20, 10, -2.0090515e+03
PE, 20, 11, -2.1384141e+03
PE, 20, 12, -2.2102812e+03
PE, 20, 13, -1.9936631e+03
PE, 20, 14, -2.2377151e+03
PE, 20, 15, -1.8908995e+03
PE, 20, 16, -2.0514529e+03
PE, 20, 17, -1.9492031e+03
PE, 20, 18, -2.1464951e+03
PE, 20, 19, -2.0446415e+03
PE, 20, 20, -1.9768229e+03
PE, 20, 21, -2.2761011e+03
PE, 20, 22, -2.0650657e+03
PE, 20, 23, -2.2174543e+03
PE, 20, 24, -1.9385206e+03
PE, 20, 25, -2.3444106e+03
PE, 20, 26, -2.0266404e+03
PE, 20, 27, -2.3496575e+03
PE, 20, 28, -2.3132849e+03
PE, 20, 29, -2.1287576e+03
PE, 20, 30, -2.3771914e+03
PE, 20, 31, -1.9080862e+03
PE, 20, 32, -2.3300886e+03
PE, 20, 33, -2.4210061e+03
PE, 20, 34, -2.1809160e+03
PE, 20, 35, -1.9930908e+03
PE, 20, 36, -2.2567236e+03
PE, 20, 37, -2.1189155e+03
PE, 20, 38, -1.9681302e+03
PE, 20, 39, -2.1542026e+03
PE, 20, 40, -1.8544749e+03
PE, 20, 41, -2.3655361e+03
PE, 20, 42, -2.2903906e+03
PE, 20, 43, -2.2534531e+03
