#Frame Index,  Radius of gyration [pm]
357, 1689.3382
358, 1696.4927
359, 1681.2792
360, 1650.427
361, 1685.6045
362, 1740.2197
363, 1715.6378
364, 1731.1852
365, 1714.9851
366, 1677.6348
367, 1710.213
368, 1680.1642
369, 1758.7725
370, 1727.8373
371, 1741.1552
372, 1728.6625
373, 1752.5472
374, 1724.7278
375, 1747.2575
376, 1740.3689
377, 1802.4135
378, 1733.898
379, 1778.4591
380, 1723.8664
381, 1716.2802
382, 1723.7661
383, 1722.4446
384, 1958.2117
385, 1839.2211
386, 1893.8429
387, 1775.8234
388, 1707.6336
389, 1673.499
390, 1702.1968
391, 1661.3558
392, 1656.1843
393, 1713.9121
394, 1737.0285
395, 1696.1036
396, 1819.2587
397, 1762.5694
398, 1750.6512
399, 1726.7397
400, 1726.4921
401, 1703.973
402, 1678.2953
403, 1647.0469
404, 1709.8322
405, 1686.7119
406, 1692.2577
407, 1750.4278
408, 1753.2289
409, 1748.4439
410, 1684.3577
411, 1724.708
412, 1698.9013
413, 1678.9736
414, 1672.4137
415, 1669.6178
416, 1720.5167
417, 1670.4989
418, 1700.8497
419, 1662.8823
420, 1682.9095
421, 1677.2594
422, 1674.0833
423, 1696.5146
424, 1665.3936
425, 1653.3279
426, 1709.3668
427, 1638.2785
428, 1706.2859
429, 1650.8099
430, 1669.5062
431, 1663.641
432, 1682.4799
433, 1684.0411
434, 1669.6414
435, 1654.3064
436, 1659.2301
437, 1656.775
438, 1718.7063
439, 1742.4523
440, 1703.1771
441, 1668.9356
442, 1676.9389
443, 1692.5633
444, 1673.7805
445, 1692.5325
446, 1682.0902
447, 1683.4599
448, 1691.1072
449, 1750.0963
450, 1673.1195
451, 1757.0598
452, 1685.9139
453, 1759.9472
454, 1690.9304
455, 1668.5455
456, 1686.0525
457, 1663.537
458, 1619.0837
459, 1666.5308
460, 1723.9608
461, 1705.1857
462, 1676.4936
463, 1670.6398
464, 1658.2975
465, 1674.1323
466, 1659.5873
467, 1645.9337
468, 1680.2891
469, 1678.674
470, 1683.3251
471, 1712.5666
472, 1688.212
473, 1721.5838
474, 1684.875
475, 1669.6388
476, 1649.686
477, 1646.4091
478, 1643.711
479, 1681.6081
480, 1655.5991
481, 1705.6403
482, 1697.3181
483, 1643.5628
484, 1720.9784
485, 1705.7757
486, 1751.5887
487, 1717.5911
488, 1708.1077
489, 1701.3022
490, 1711.7479
491, 1697.9131
492, 1662.9126
493, 1679.0336
494, 1680.2149
495, 1678.4169
496, 1647.2226
497, 1670.2522
498, 1673.7681
499, 1649.4794
500, 1627.3379
501, 1617.5087
502, 1663.8368
503, 1648.0771
504, 1645.7166
505, 1645.169
506, 1707.5982
507, 1654.3362
508, 1648.4321
509, 1662.7951
510, 1644.713
511, 1656.4523
512, 1658.2558
513, 1684.8512
514, 1676.2849
515, 1690.9494
516, 1709.77
517, 1681.1429
518, 1663.3919
519, 1655.8804
520, 1663.8506
521, 1658.3491
522, 1653.153
523, 1631.8576
524, 1613.3953
525, 1674.5558
526, 1654.6134
527, 1648.3865
528, 1644.4334
529, 1638.8372
530, 1653.7927
531, 1632.1076
532, 1617.2869
533, 1634.5984
534, 1625.4058
535, 1606.6879
536, 1655.656
537, 1632.5283
538, 1618.8927
539, 1626.4061
540, 1682.0635
541, 1626.5276
542, 1626.0319
543, 1635.2543
544, 1653.782
545, 1663.9936
546, 1671.7861
547, 1632.6773
548, 1628.829
549, 1667.4354
550, 1667.0896
551, 1644.4353
552, 1631.4938
553, 1623.2447
554, 1663.5162
555, 1615.0316
556, 1627.677
557, 1603.9237
558, 1624.5952
559, 1654.6236
560, 1702.8862
561, 1663.9167
562, 1671.6072
563, 1645.4759
564, 1664.8122
565, 1651.6309
566, 1649.9417
567, 1658.0933
568, 1646.7038
569, 1699.7742
570, 1658.5668
571, 1680.3531
572, 1654.1475
573, 1622.1311
574, 1620.2349
575, 1633.1969
576, 1644.9654
577, 1640.6402
578, 1624.7482
579, 1666.7026
580, 1672.8499
581, 1626.641
582, 1672.8298
583, 1693.4019
584, 1666.7437
585, 1637.5638
586, 1634.6087
587, 1645.9748
588, 1712.7096
589, 1677.1448
590, 1638.6299
591, 1627.0778
592, 1633.2387
593, 1616.1033
594, 1637.3709
595, 1627.5827
596, 1668.4991
597, 1649.7155
598, 1649.3784
599, 1657.8804
600, 1643.4259
601, 1654.7155
602, 1637.5391
603, 1595.2418
604, 1630.157
605, 1620.0349
606, 1663.766
607, 1660.9437
608, 1699.6174
609, 1641.4543
610, 1636.8648
611, 1654.5754
612, 1621.7593
613, 1625.4089
614, 1595.6103
615, 1642.4666
616, 1633.6913
617, 1583.1956
618, 1576.9327
619, 1585.6679
620, 1615.0962
621, 1616.0195
622, 1611.5742
623, 1623.1353
624, 1624.4048
625, 1611.064
626, 1637.4152
627, 1614.0162
628, 1612.9519
629, 1616.741
630, 1615.4949
631, 1597.1126
632, 1620.3338
633, 1642.9987
634, 1601.892
635, 1600.1737
636, 1625.7149
637, 1593.9064
638, 1584.7968
639, 1620.3961
640, 1610.6956
641, 1602.072
642, 1608.9201
643, 1616.1272
644, 1601.8081
645, 1620.9089
646, 1610.6818
647, 1616.6312
648, 1604.3608
649, 1630.3579
650, 1620.352
651, 1638.8032
652, 1605.7093
653, 1598.9692
654, 1600.7376
655, 1626.0367
656, 1610.5164
657, 1608.8082
658, 1632.3338
659, 1619.7164
660, 1625.5547
661, 1604.1658
662, 1605.8964
663, 1616.5738
664, 1591.329
665, 1606.666
666, 1636.0634
667, 1612.4334
668, 1634.8315
669, 1605.0095
670, 1613.146
671, 1608.3898
672, 1595.504
673, 1601.3065
674, 1574.9685
675, 1592.2984
676, 1601.4801
677, 1601.4967
678, 1598.8905
679, 1592.0753
680, 1584.6511
681, 1592.1524
682, 1590.8674
683, 1604.0408
684, 1595.3063
685, 1585.3625
686, 1601.49
687, 1589.9636
688, 1570.2761
689, 1606.7916
690, 1590.2055
691, 1616.0627
692, 1593.9602
693, 1593.5499
694, 1579.3708
695, 1589.2635
696, 1601.457
697, 1586.8356
698, 1585.2287
699, 1590.3864
700, 1624.577
701, 1595.2058
702, 1593.6099
703, 1584.4154
704, 1598.5294
705, 1607.2292
706, 1604.4472
707, 1587.6081
708, 1603.3578
709, 1586.361
710, 1569.4093
711, 1588.9607
712, 1574.5197
713, 1580.1112
714, 1573.6521
715, 1573.6874
716, 1581.6696
717, 1587.96
718, 1603.3491
719, 1585.6909
720, 1614.9759
721, 1591.1147
722, 1591.8143
723, 1594.8539
724, 1575.4848
725, 1589.099
726, 1584.2436
727, 1573.2124
728, 1590.8714
729, 1581.1479
730, 1571.8811
731, 1573.7672
732, 1578.5668
733, 1569.1962
734, 1587.7533
735, 1583.7473
736, 1583.1053
737, 1583.1846
738, 1567.5887
739, 1580.8431
740, 1586.5789
741, 1582.0692
742, 1606.3176
743, 1575.881
744, 1583.785
745, 1566.2843
746, 1563.35
747, 1573.0725
748, 1577.5893
749, 1561.9385
750, 1557.691
751, 1563.664
752, 1555.795
753, 1551.7929
754, 1557.9457
755, 1559.6323
756, 1566.5473
757, 1564.5486
758, 1561.6728
759, 1565.3223
760, 1564.6815
761, 1552.3649
762, 1569.8063
763, 1569.7436
764, 1578.9809
765, 1564.5788
766, 1579.1037
767, 1570.9393
768, 1568.7797
769, 1577.5246
770, 1558.4235
771, 1557.1841
772, 1565.1124
773, 1573.0542
774, 1571.4036
775, 1554.1978
776, 1561.6298
777, 1568.1121
778, 1558.9063
