#Frame Index,  Radius of gyration [pm]
362, 4514.9738
363, 4598.6243
364, 4707.9578
365, 4779.8778
366, 4838.0276
367, 4865.0573
368, 4918.2761
369, 5000.8433
370, 5118.9566
371, 5251.4802
372, 6334.9285
373, 6404.1599
374, 6067.1057
375, 5897.3669
376, 5745.9775
377, 5598.0318
378, 5460.1781
379, 5288.928
380, 5103.0158
381, 4900.2378
382, 4685.5247
383, 4493.802
384, 4330.2975
385, 4226.2399
386, 4150.2601
387, 4073.3214
388, 4018.2394
389, 3964.6032
390, 3919.103
391, 3901.0757
392, 3895.8838
393, 3916.6273
394, 3941.3682
395, 3997.3785
396, 4069.7316
397, 4177.1287
398, 4335.6947
399, 4487.1492
400, 4673.6174
401, 4837.0684
402, 4993.8306
403, 5196.8407
404, 5411.8951
405, 6057.0102
406, 5030.5326
407, 4781.4972
408, 4512.6381
409, 4236.9923
410, 4028.0411
411, 3816.9063
412, 3607.5239
413, 3431.9802
414, 3281.2318
415, 3117.0551
416, 2958.1856
417, 2844.9151
418, 2792.9212
419, 2807.4334
420, 2799.1209
421, 2875.5842
422, 2939.9921
423, 3024.3334
424, 3101.1534
425, 3220.2628
426, 3349.826
427, 3507.8334
428, 3695.9883
429, 3878.5902
430, 4070.4715
431, 4268.8816
432, 4454.2043
433, 4630.0892
434, 4813.785
435, 4982.8363
436, 5155.4584
437, 5303.5671
438, 5447.0929
439, 5639.5072
440, 5821.893
441, 6123.6001
442, 5876.9841
443, 5600.332
444, 5350.0891
445, 5077.7551
446, 4798.2956
447, 4510.9063
448, 4238.6413
449, 4034.386
450, 3832.7806
451, 3681.886
452, 3551.0296
453, 3444.7448
454, 3355.4893
455, 3263.9339
456, 3197.8375
457, 3124.3963
458, 3099.1454
459, 3134.6725
460, 3137.1501
461, 3187.1007
462, 3187.1027
463, 3184.7929
464, 3287.2805
465, 3349.1104
466, 3503.0743
467, 3658.0856
468, 3849.3857
469, 4081.0925
470, 4355.2186
471, 4634.2135
472, 4924.8859
473, 5136.8819
474, 5356.9818
475, 5888.7467
476, 5742.1085
477, 5627.6918
478, 5519.5744
479, 5415.2633
480, 5346.6776
481, 5334.3629
482, 5299.2316
483, 5295.6278
484, 5373.1149
485, 5460.9648
486, 5598.9532
487, 5730.5602
488, 6671.1816
489, 5733.7765
490, 5304.9815
491, 4897.4898
492, 4486.9009
493, 4093.1426
494, 3663.6823
495, 3284.5708
496, 2933.9061
497, 2613.6737
498, 2213.8856
499, 2020.5855
500, 1996.718
501, 1976.1117
502, 1910.0323
503, 1901.3897
504, 1836.1772
505, 1850.1829
506, 1841.0312
507, 1842.5828
508, 1820.5817
509, 1809.0927
510, 1762.3484
511, 1732.3457
512, 1755.518
513, 1747.4657
514, 1768.8858
515, 1739.18
516, 1749.3304
