Frame, Rg(whole graph) / Å, Rg(subgraphs) / Å
0,16.589,10.027,9.606,11.886,9.829,9.755,9.814,9.531,9.976,8.558,9.490,7.807,10.270
1,16.723,8.155,8.128,10.531,9.331,9.933,9.232,8.692,7.833,10.806,8.694,8.055,9.727
2,16.610,10.948,9.049,8.547,9.896,12.006,8.857,9.785,9.418,9.535,8.343,9.783,8.626
3,16.749,7.799,11.427,9.712,9.054,9.269,8.482,9.787,9.159,8.411,8.758,8.384,9.806
4,16.826,8.206,11.094,9.008,10.627,9.376,9.983,8.317,7.640,9.406,8.335,8.919,7.827
5,16.741,10.678,11.109,9.561,7.914,10.073,7.615,10.129,8.180,8.178,7.987,12.289,9.867
6,16.712,8.263,10.272,7.939,10.552,8.208,10.850,9.170,12.430,9.937,10.278,8.975,8.225
7,16.901,8.043,8.923,10.513,10.025,7.971,8.683,8.993,8.590,9.059,8.817,9.090,9.990
8,16.886,9.249,8.632,8.204,9.421,11.254,7.682,11.705,10.084,10.376,8.734,10.761,7.817
9,16.588,11.309,8.118,9.919,9.262,8.846,10.689,12.526,8.736,8.212,11.195,9.403,9.989
10,16.801,8.633,7.850,10.469,10.876,8.449,8.334,8.892,8.425,9.808,9.378,9.163,9.880
11,16.555,9.341,10.037,9.961,9.007,7.821,10.152,8.722,8.886,10.866,11.101,8.152,7.568
12,16.655,8.875,8.286,12.126,8.791,10.215,10.679,8.811,7.979,10.661,8.449,9.895,9.536
13,16.714,7.816,8.086,9.840,11.119,9.284,9.749,8.809,9.460,8.748,8.874,7.819,8.587
14,16.528,9.448,11.089,9.621,8.230,10.680,9.100,10.091,9.595,9.415,11.108,9.787,9.067
15,16.722,10.771,8.487,8.903,9.098,7.993,11.190,8.281,9.487,7.943,10.694,8.604,8.150
16,16.397,10.844,9.508,12.008,11.326,8.961,8.288,10.670,8.097,11.123,10.356,8.759,9.916
17,16.617,10.423,8.116,8.331,10.043,9.621,8.718,8.209,9.493,10.160,11.528,9.557,9.928
18,16.828,10.475,9.675,12.334,9.401,10.534,8.992,8.022,7.800,9.298,9.016,9.765,10.041
19,16.704,9.638,8.623,8.693,7.759,8.146,10.553,8.192,8.097,9.330,10.497,10.673,9.046
20,16.670,8.489,10.315,8.441,9.982,10.019,9.104,11.115,12.111,11.075,11.212,8.067,9.294
21,16.876,11.399,11.615,8.605,10.636,8.262,9.510,8.063,9.469,9.318,11.327,10.885,9.236
22,16.550,9.066,10.977,10.807,10.118,10.164,8.791,10.513,11.294,11.998,9.070,8.288,10.252
23,16.923,8.149,10.538,9.095,8.999,10.153,10.479,8.233,9.389,11.987,11.528,7.626,7.768
24,16.641,7.850,10.605,8.090,11.328,10.310,8.338,11.118,9.079,9.450,11.709,8.591,11.207
25,16.723,11.137,10.634,9.683,8.748,7.939,10.236,8.499,10.102,10.698,9.837,9.271,8.929
26,16.529,8.940,7.913,7.722,10.576,9.071,9.135,9.297,8.450,11.741,8.963,10.522,7.853
27,16.443,8.725,8.563,9.805,9.369,8.308,11.598,9.519,8.495,9.510,9.726,7.681,9.823
28,16.593,10.239,12.438,9.745,8.728,8.071,11.729,9.365,9.527,8.621,8.634,8.323,11.493
29,16.700,8.595,11.058,8.868,8.969,9.176,8.517,8.994,10.423,11.934,7.437,8.832,8.922
30,16.488,9.046,10.267,11.444,10.513,11.271,8.153,9.516,8.554,10.487,8.242,11.894,7.869
31,16.586,9.574,8.675,9.739,10.385,8.942,8.128,9.593,10.358,8.694,9.557,10.958,9.127
32,16.677,9.195,8.541,8.583,9.122,8.294,8.295,8.879,8.731,9.396,9.391,9.974,10.486
33,16.861,9.695,9.632,8.708,9.804,7.946,9.553,9.365,9.328,8.510,7.631,8.847,10.498
34,16.531,11.004,8.951,10.710,11.618,8.353,11.024,8.926,10.063,11.462,8.045,9.255,8.220
35,16.734,12.000,9.563,12.155,9.445,8.876,9.273,10.545,10.537,8.083,9.441,9.627,10.230
36,16.765,8.655,7.942,7.990,7.501,10.948,10.850,11.851,10.073,8.517,10.194,10.555,9.672
37,16.423,8.297,9.763,9.619,10.470,10.474,9.124,9.552,9.227,8.266,8.271,8.291,9.361
38,16.519,9.165,10.853,8.126,7.830,10.741,10.225,9.925,9.251,9.798,8.447,10.766,8.148
39,16.898,8.916,9.148,11.091,8.686,9.474,10.907,12.071,8.710,8.432,8.921,10.192,7.790
40,16.621,12.420,8.350,9.816,9.638,8.958,8.440,10.511,9.900,10.334,9.907,8.573,7.743
41,16.601,9.614,9.005,9.102,8.630,8.485,10.014,11.115,8.426,10.160,8.868,8.510,11.505
42,16.982,9.440,9.246,7.953,9.583,10.129,7.835,11.521,11.667,9.718,8.157,10.808,9.367
43,16.615,8.364,8.790,9.258,12.217,11.407,10.328,10.870,10.081,8.372,7.939,7.914,11.174
44,16.670,11.873,9.226,8.525,10.840,10.413,8.628,9.706,10.619,9.273,7.773,11.063,7.981
45,16.732,8.620,10.329,9.044,9.594,8.689,9.474,9.666,9.221,9.012,9.483,12.242,8.008
46,16.720,8.978,8.824,7.736,11.838,9.825,8.907,10.334,9.438,10.196,11.452,9.587,8.839
47,16.689,9.405,10.187,10.888,8.733,10.883,8.060,8.236,7.898,10.049,9.051,10.015,8.396
48,16.692,10.638,11.345,10.755,8.050,8.468,9.330,8.050,9.602,8.087,10.978,10.585,11.484
49,16.529,10.994,9.111,10.185,8.993,8.075,8.815,10.603,8.653,9.754,9.337,10.797,8.806
