Frame, Order Parameter S
0,0.208
1,0.165
2,0.228
3,0.201
4,0.188
5,0.158
6,0.172
7,0.252
8,0.217
9,0.187
10,0.189
11,0.175
12,0.160
13,0.157
14,0.176
15,0.195
16,0.226
17,0.233
18,0.179
19,0.214
20,0.187
21,0.178
22,0.219
23,0.209
24,0.229
25,0.228
26,0.193
27,0.160
28,0.162
29,0.194
30,0.202
31,0.195
32,0.184
33,0.159
34,0.215
35,0.139
36,0.217
37,0.140
38,0.127
39,0.188
40,0.188
41,0.179
42,0.248
43,0.209
44,0.231
45,0.219
46,0.146
47,0.155
48,0.154
49,0.158
50,0.157
