#Frame Index,  Radius of gyration [pm]
0, 1508.6881
1, 1513.309
2, 1527.7324
3, 1508.2785
4, 1519.0437
5, 1515.9767
6, 1498.6348
7, 1518.0121
8, 1526.0709
9, 1520.2087
10, 1494.602
11, 1508.2999
12, 1499.4155
13, 1503.7004
14, 1505.7873
15, 1508.4918
16, 1506.1296
17, 1495.319
18, 1518.592
19, 1514.2956
20, 1516.8622
21, 1501.2865
22, 1499.2655
23, 1522.0612
24, 1511.6325
25, 1512.5575
26, 1534.0237
27, 1500.9537
28, 1510.914
29, 1507.7131
30, 1508.9723
31, 1507.7083
32, 1494.0397
33, 1512.4642
34, 1503.7867
35, 1506.8462
36, 1507.9041
37, 1519.0486
38, 1517.7153
39, 1525.6784
40, 1528.8438
41, 1513.2834
42, 1508.9538
43, 1530.7596
44, 1521.4859
45, 1507.3342
46, 1513.3283
47, 1497.0917
48, 1516.7001
