Frame,Cis count,Trans count
531,455,909
532,456,908
533,436,928
534,421,943
535,455,909
536,442,922
537,467,897
538,439,925
539,454,910
540,426,938
541,448,916
542,443,921
543,457,907
544,438,926
545,461,903
546,458,906
547,456,908
548,440,924
549,427,937
550,445,919
551,443,921
552,439,925
553,434,930
554,455,909
555,428,936
556,423,941
557,468,896
558,436,928
559,425,939
560,435,929
561,440,924
562,448,916
563,443,921
564,443,921
565,430,934
566,448,916
567,448,916
568,456,908
569,407,957
570,440,924
571,444,920
572,440,924
573,447,917
574,439,925
575,452,912
576,455,909
577,437,927
578,450,914
579,427,937
580,409,955
581,436,928
582,440,924
583,436,928
584,463,901
585,445,919
586,446,918
587,464,900
588,433,931
589,469,895
590,460,904
591,458,906
592,440,924
593,436,928
594,446,918
595,470,894
596,449,915
597,442,922
598,441,923
599,480,884
600,449,915
601,455,909
602,441,923
603,447,917
604,456,908
605,434,930
606,453,911
607,444,920
608,454,910
609,430,934
610,447,917
611,438,926
612,446,918
613,449,915
614,431,933
615,466,898
616,455,909
617,440,924
618,433,931
619,419,945
620,433,931
621,408,956
622,446,918
623,458,906
624,454,910
625,421,943
626,445,919
627,464,900
628,429,935
629,455,909
630,431,933
631,432,932
632,446,918
633,456,908
634,434,930
635,416,948
636,457,907
637,440,924
638,470,894
639,447,917
640,442,922
641,393,971
642,429,935
643,423,941
644,446,918
645,436,928
646,447,917
647,444,920
648,418,946
649,441,923
650,407,957
651,420,944
652,432,932
653,471,893
654,422,942
655,438,926
656,436,928
657,458,906
658,437,927
659,460,904
660,452,912
661,438,926
662,469,895
663,449,915
664,448,916
665,466,898
666,434,930
667,470,894
668,434,930
669,454,910
670,433,931
671,447,917
672,452,912
673,423,941
674,453,911
675,436,928
676,460,904
677,461,903
678,455,909
679,446,918
680,423,941
681,453,911
682,439,925
683,437,927
684,466,898
685,443,921
686,464,900
687,467,897
688,441,923
689,466,898
690,469,895
691,449,915
692,433,931
693,439,925
694,442,922
695,449,915
696,471,893
697,443,921
698,446,918
699,448,916
700,441,923
701,460,904
702,436,928
703,444,920
704,429,935
705,436,928
706,426,938
707,476,888
708,434,930
709,442,922
710,438,926
711,446,918
712,419,945
713,427,937
714,431,933
715,449,915
716,439,925
717,453,911
718,444,920
719,441,923
720,432,932
721,448,916
722,459,905
723,463,901
724,466,898
725,428,936
726,444,920
727,444,920
728,460,904
729,433,931
730,437,927
731,435,929
732,436,928
733,417,947
734,426,938
735,426,938
736,466,898
737,468,896
738,459,905
739,446,918
740,416,948
741,450,914
742,466,898
743,421,943
744,433,931
745,418,946
746,439,925
747,469,895
748,477,887
749,443,921
750,444,920
751,432,932
752,438,926
753,432,932
754,419,945
755,426,938
756,433,931
757,454,910
758,415,949
759,428,936
760,464,900
761,453,911
762,448,916
763,413,951
764,457,907
765,444,920
766,455,909
767,421,943
768,438,926
769,439,925
770,436,928
771,428,936
772,454,910
773,461,903
774,443,921
775,459,905
776,437,927
777,417,947
778,448,916
779,441,923
780,437,927
781,449,915
782,430,934
783,423,941
784,454,910
785,438,926
786,441,923
787,440,924
788,446,918
789,446,918
790,438,926
791,414,950
792,437,927
793,426,938
794,435,929
795,406,958
796,422,942
797,464,900
798,440,924
799,448,916
800,452,912
801,457,907
802,437,927
803,465,899
804,441,923
805,434,930
806,444,920
807,431,933
808,471,893
809,443,921
810,459,905
811,464,900
812,456,908
813,417,947
814,461,903
815,440,924
816,427,937
817,443,921
818,453,911
819,437,927
820,457,907
821,437,927
822,412,952
823,424,940
824,430,934
825,442,922
826,442,922
827,433,931
828,443,921
829,422,942
830,447,917
831,447,917
832,451,913
833,441,923
834,446,918
835,454,910
836,457,907
837,428,936
838,442,922
839,442,922
840,452,912
841,456,908
842,436,928
843,440,924
844,446,918
845,413,951
846,436,928
847,408,956
848,406,958
849,464,900
850,411,953
851,430,934
852,428,936
853,435,929
854,455,909
855,440,924
856,426,938
857,441,923
858,442,922
859,445,919
860,454,910
861,450,914
862,441,923
863,418,946
864,439,925
865,439,925
866,435,929
867,459,905
868,442,922
869,454,910
870,439,925
871,443,921
872,437,927
873,414,950
874,427,937
875,433,931
876,436,928
877,443,921
878,457,907
879,440,924
880,418,946
881,429,935
882,433,931
883,448,916
884,439,925
885,454,910
886,445,919
887,435,929
888,445,919
889,436,928
890,455,909
891,440,924
892,447,917
893,420,944
894,429,935
895,437,927
896,459,905
897,450,914
898,421,943
899,469,895
900,447,917
901,469,895
902,452,912
903,466,898
904,437,927
905,445,919
906,444,920
907,461,903
908,449,915
909,446,918
910,407,957
911,443,921
912,434,930
913,440,924
914,422,942
915,450,914
916,466,898
917,435,929
918,451,913
919,472,892
920,437,927
921,425,939
922,453,911
923,456,908
924,448,913
925,471,893
926,469,895
927,451,913
928,446,918
929,424,940
930,453,911
931,435,929
932,452,912
933,452,912
934,444,920
935,440,924
936,445,919
937,433,931
938,432,932
939,465,899
940,448,916
941,455,909
942,436,928
943,440,924
944,434,930
945,448,916
946,448,916
947,448,916
948,456,908
949,458,906
950,414,950
951,418,946
952,425,939
953,420,944
954,426,938
955,451,913
956,422,942
957,451,913
958,469,895
959,446,918
960,448,916
961,410,954
962,453,911
963,455,909
964,438,926
965,433,931
966,409,955
967,442,922
968,438,926
969,457,907
970,470,894
971,442,922
972,457,907
973,446,918
974,421,943
975,430,934
976,453,911
977,445,919
978,443,921
979,455,909
980,422,942
981,457,907
982,434,930
983,433,931
984,440,924
985,436,928
986,423,941
987,466,898
988,460,904
989,448,916
990,453,911
991,466,898
992,450,914
993,447,917
994,440,924
995,448,916
996,440,924
997,415,949
998,444,920
999,448,916
1000,459,905
1001,460,904
1002,440,924
1003,438,926
1004,444,920
1005,450,914
1006,426,938
1007,435,929
1008,410,954
1009,423,941
1010,444,920
1011,461,903
1012,428,936
1013,453,911
1014,444,920
