Frame, Element Type, H-Acceptor dist / Å, Donor-Acceptor dist / Å, Angle cutoff / °, Number of Hydrogen Bonds
174,O,2.500,3.500,30.000,4
175,O,2.500,3.500,30.000,3
176,O,2.500,3.500,30.000,6
177,O,2.500,3.500,30.000,5
178,O,2.500,3.500,30.000,3
179,O,2.500,3.500,30.000,3
180,O,2.500,3.500,30.000,2
181,O,2.500,3.500,30.000,5
182,O,2.500,3.500,30.000,0
183,O,2.500,3.500,30.000,3
184,O,2.500,3.500,30.000,2
185,O,2.500,3.500,30.000,8
186,O,2.500,3.500,30.000,4
187,O,2.500,3.500,30.000,3
188,O,2.500,3.500,30.000,2
189,O,2.500,3.500,30.000,1
190,O,2.500,3.500,30.000,2
191,O,2.500,3.500,30.000,7
192,O,2.500,3.500,30.000,3
193,O,2.500,3.500,30.000,0
194,O,2.500,3.500,30.000,1
195,O,2.500,3.500,30.000,3
196,O,2.500,3.500,30.000,4
197,O,2.500,3.500,30.000,2
198,O,2.500,3.500,30.000,2
199,O,2.500,3.500,30.000,0
200,O,2.500,3.500,30.000,2
201,O,2.500,3.500,30.000,4
202,O,2.500,3.500,30.000,3
203,O,2.500,3.500,30.000,2
204,O,2.500,3.500,30.000,0
205,O,2.500,3.500,30.000,3
206,O,2.500,3.500,30.000,5
207,O,2.500,3.500,30.000,0
208,O,2.500,3.500,30.000,2
209,O,2.500,3.500,30.000,3
210,O,2.500,3.500,30.000,4
211,O,2.500,3.500,30.000,5
212,O,2.500,3.500,30.000,2
213,O,2.500,3.500,30.000,4
214,O,2.500,3.500,30.000,0
215,O,2.500,3.500,30.000,2
216,O,2.500,3.500,30.000,5
217,O,2.500,3.500,30.000,4
218,O,2.500,3.500,30.000,1
219,O,2.500,3.500,30.000,2
220,O,2.500,3.500,30.000,1
221,O,2.500,3.500,30.000,4
222,O,2.500,3.500,30.000,6
223,O,2.500,3.500,30.000,5
224,O,2.500,3.500,30.000,7
225,O,2.500,3.500,30.000,3
226,O,2.500,3.500,30.000,5
227,O,2.500,3.500,30.000,1
228,O,2.500,3.500,30.000,6
229,O,2.500,3.500,30.000,1
230,O,2.500,3.500,30.000,3
231,O,2.500,3.500,30.000,3
232,O,2.500,3.500,30.000,5
233,O,2.500,3.500,30.000,1
234,O,2.500,3.500,30.000,7
235,O,2.500,3.500,30.000,0
236,O,2.500,3.500,30.000,3
237,O,2.500,3.500,30.000,2
238,O,2.500,3.500,30.000,5
239,O,2.500,3.500,30.000,4
240,O,2.500,3.500,30.000,2
241,O,2.500,3.500,30.000,4
242,O,2.500,3.500,30.000,4
243,O,2.500,3.500,30.000,6
244,O,2.500,3.500,30.000,4
245,O,2.500,3.500,30.000,4
246,O,2.500,3.500,30.000,4
247,O,2.500,3.500,30.000,4
248,O,2.500,3.500,30.000,1
249,O,2.500,3.500,30.000,5
250,O,2.500,3.500,30.000,3
251,O,2.500,3.500,30.000,2
252,O,2.500,3.500,30.000,1
253,O,2.500,3.500,30.000,2
254,O,2.500,3.500,30.000,2
255,O,2.500,3.500,30.000,5
256,O,2.500,3.500,30.000,3
257,O,2.500,3.500,30.000,1
258,O,2.500,3.500,30.000,6
259,O,2.500,3.500,30.000,0
260,O,2.500,3.500,30.000,2
261,O,2.500,3.500,30.000,5
262,O,2.500,3.500,30.000,3
263,O,2.500,3.500,30.000,3
264,O,2.500,3.500,30.000,5
265,O,2.500,3.500,30.000,2
266,O,2.500,3.500,30.000,4
267,O,2.500,3.500,30.000,4
268,O,2.500,3.500,30.000,4
269,O,2.500,3.500,30.000,0
270,O,2.500,3.500,30.000,3
271,O,2.500,3.500,30.000,1
272,O,2.500,3.500,30.000,3
273,O,2.500,3.500,30.000,3
274,O,2.500,3.500,30.000,3
275,O,2.500,3.500,30.000,2
276,O,2.500,3.500,30.000,3
277,O,2.500,3.500,30.000,1
278,O,2.500,3.500,30.000,4
279,O,2.500,3.500,30.000,3
280,O,2.500,3.500,30.000,0
281,O,2.500,3.500,30.000,6
282,O,2.500,3.500,30.000,1
283,O,2.500,3.500,30.000,1
284,O,2.500,3.500,30.000,5
285,O,2.500,3.500,30.000,3
286,O,2.500,3.500,30.000,6
287,O,2.500,3.500,30.000,0
288,O,2.500,3.500,30.000,4
289,O,2.500,3.500,30.000,4
290,O,2.500,3.500,30.000,3
291,O,2.500,3.500,30.000,0
292,O,2.500,3.500,30.000,4
293,O,2.500,3.500,30.000,1
294,O,2.500,3.500,30.000,4
295,O,2.500,3.500,30.000,3
296,O,2.500,3.500,30.000,1
297,O,2.500,3.500,30.000,1
298,O,2.500,3.500,30.000,3
299,O,2.500,3.500,30.000,5
300,O,2.500,3.500,30.000,4
301,O,2.500,3.500,30.000,2
302,O,2.500,3.500,30.000,3
303,O,2.500,3.500,30.000,2
304,O,2.500,3.500,30.000,0
305,O,2.500,3.500,30.000,3
306,O,2.500,3.500,30.000,4
