plastic, time, index, energy [kJ/mol]
PP, 50, 0, -9757036.669135865
PP, 50, 1, -9757056.988734854
PP, 50, 2, -9757047.724506851
PP, 50, 3, -9757009.623121444
PP, 50, 4, -9757061.12426575
PP, 50, 5, -9757047.150766572
PP, 50, 6, -9757000.597733386
PP, 50, 7, -9757064.795510903
PP, 50, 8, -9757050.296539703
PP, 50, 9, -9757080.637994118
PP, 50, 10, -9757111.308872417
PP, 50, 11, -9757050.737874152
PP, 50, 12, -9757054.552379044
PP, 50, 13, -9757050.48140752
PP, 50, 14, -9757028.494233439
PP, 50, 15, -9757063.634460256
PP, 50, 16, -9757059.315909542
PP, 50, 17, -9757064.34116125
PP, 50, 18, -9757050.481163315
PP, 50, 19, -9757092.341780385
PP, 50, 20, -9757045.719801515
PP, 50, 21, -9757005.929098196
PP, 50, 22, -9757018.421043241
PP, 50, 23, -9757099.152350111
PP, 50, 24, -9757085.234661737
PP, 50, 25, -9757124.90325554
PP, 50, 26, -9757077.813896235
PP, 50, 27, -9757033.814610476
PP, 50, 28, -9757043.295086427
PP, 50, 29, -9757103.172817342
PP, 50, 30, -9757082.716792237
PP, 50, 31, -9757037.412380617
PP, 50, 32, -9757105.627309233
PP, 50, 33, -9757090.62772007
PP, 50, 34, -9757044.362733915
PP, 50, 35, -9757105.415689565
PP, 50, 36, -9757064.396315658
PP, 50, 37, -9757091.814458499
PP, 50, 38, -9757048.123009529
PP, 50, 39, -9757079.62954079
PP, 50, 40, -9757065.580716154
PP, 50, 41, -9757036.144283298
PP, 50, 42, -9757023.815329883
PP, 50, 43, -9757041.650999535
PP, 50, 44, -9757062.313962983
PP, 50, 45, -9757039.300238548
PP, 50, 46, -9757029.42683643
PP, 50, 47, -9757074.18472626
PP, 50, 48, -9757047.32147173
