plastic,time,index,BP_xtb_geom energy [kJ/mol]
PE,20,0,-111424031.98432828
PE,20,1,-111424356.84545815
PE,20,2,-111424154.58242378
PE,20,3,-111424428.21721044
PE,20,4,-111423964.69898671
PE,20,5,-111424312.89206468
PE,20,6,-111424307.37485924
PE,20,7,-111424351.07566825
PE,20,8,-111424297.39393912
PE,20,9,-111424306.81538162
PE,20,10,-111424170.32342735
PE,20,11,-111424204.62671223
PE,20,12,-111424292.35395189
PE,20,13,-111424085.82599162
PE,20,14,-111424323.32968898
PE,20,15,-111424009.4043142
PE,20,16,-111424133.91477226
PE,20,17,-111424073.74955836
PE,20,18,-111424246.80004236
PE,20,19,-111424119.73087685
PE,20,20,-111424099.43044484
PE,20,21,-111424442.74723236
PE,20,22,-111424216.62402613
PE,20,23,-111424352.11132291
PE,20,24,-111424032.10900466
PE,20,25,-111424422.54590243
PE,20,26,-111424142.61894608
PE,20,27,-111424458.14370355
PE,20,28,-111424379.67579295
PE,20,29,-111424278.47478896
PE,20,30,-111424444.20434797
PE,20,31,-111424072.34465165
PE,20,32,-111424429.29914328
PE,20,33,-111424507.87564552
PE,20,34,-111424236.84761445
PE,20,35,-111424145.44259734
PE,20,36,-111424408.4303193
PE,20,37,-111424228.12210861
PE,20,38,-111424063.50854258
PE,20,39,-111424262.31231
PE,20,40,-111423999.8892846
PE,20,41,-111424455.0848187
PE,20,42,-111424416.8692393
PE,20,43,-111424357.61911519
