plastic, time, index, energy [kJ/mol]
PE, 20, 0, -8998742.926048005
PE, 20, 1, -8998954.418628665
PE, 20, 2, -8998882.616855772
PE, 20, 3, -8999012.772287698
PE, 20, 4, -8998777.525733361
PE, 20, 5, -8998970.260603081
PE, 20, 6, -8998921.112998849
PE, 20, 7, -8998969.897535535
PE, 20, 8, -8998920.054664789
PE, 20, 9, -8998970.60955796
PE, 20, 10, -8998815.96729869
PE, 20, 11, -8998929.812405024
PE, 20, 12, -8998975.101863971
PE, 20, 13, -8998871.506636588
PE, 20, 14, -8998924.747230751
PE, 20, 15, -8998732.143753223
PE, 20, 16, -8998881.592818603
PE, 20, 17, -8998785.396487504
PE, 20, 18, -8998921.848881094
PE, 20, 19, -8998883.917396886
PE, 20, 20, -8998832.865017312
PE, 20, 21, -8998948.506680572
PE, 20, 22, -8998852.072552832
PE, 20, 23, -8998948.308972342
PE, 20, 24, -8998790.795032771
PE, 20, 25, -8998995.493691375
PE, 20, 26, -8998861.599421041
PE, 20, 27, -8998988.726876123
PE, 20, 28, -8999013.248383146
PE, 20, 29, -8998918.226620609
PE, 20, 30, -8999034.108535916
PE, 20, 31, -8998819.763003087
PE, 20, 32, -8998988.648944842
PE, 20, 33, -8999031.041074349
PE, 20, 34, -8999011.113982614
PE, 20, 35, -8998803.279942496
PE, 20, 36, -8998997.516005049
PE, 20, 37, -8998910.195352975
PE, 20, 38, -8998791.405159304
PE, 20, 39, -8998870.11128232
PE, 20, 40, -8998758.72392482
PE, 20, 41, -8999074.824449526
PE, 20, 42, -8998925.341655042
PE, 20, 43, -8998905.66231693
