plastic, time, index, energy [kJ/mol]
PE, 50, 0, -8999216.300648296
PE, 50, 1, -8999041.263565864
PE, 50, 2, -8999317.654634867
PE, 50, 3, -8999126.216747839
PE, 50, 4, -8999023.826100133
PE, 50, 5, -8999102.795069009
PE, 50, 6, -8999450.772720078
PE, 50, 7, -8999277.836217703
PE, 50, 8, -8999053.658600844
PE, 50, 9, -8998956.420357058
PE, 50, 10, -8999022.095647417
PE, 50, 11, -8999227.309122145
PE, 50, 12, -8998919.234140769
PE, 50, 13, -8999246.654823838
PE, 50, 14, -8998865.941157289
PE, 50, 15, -8998861.537484603
PE, 50, 16, -8999053.449212909
PE, 50, 17, -8999216.715264399
PE, 50, 18, -8998871.145196544
PE, 50, 19, -8998979.199422415
PE, 50, 20, -8999296.520332986
PE, 50, 21, -8998804.577008527
PE, 50, 22, -8999018.659327671
PE, 50, 23, -8999307.411122955
PE, 50, 24, -8999238.949390689
PE, 50, 25, -8999196.548300909
PE, 50, 26, -8998942.028176611
PE, 50, 27, -8999088.130989758
PE, 50, 28, -8999463.126713475
PE, 50, 29, -8998975.972990224
PE, 50, 30, -8998980.113819527
PE, 50, 31, -8999279.23543671
PE, 50, 32, -8999123.359218486
PE, 50, 33, -8999041.718774676
PE, 50, 34, -8999200.794313563
PE, 50, 35, -8999033.86213484
PE, 50, 36, -8998959.08351275
PE, 50, 37, -8999072.317881525
PE, 50, 38, -8999068.646736797
PE, 50, 39, -8999204.745924037
PE, 50, 40, -8999100.983003676
PE, 50, 41, -8998861.784297839
PE, 50, 42, -8999036.176937077
PE, 50, 43, -8998939.342521315
PE, 50, 44, -8998988.040932566
PE, 50, 45, -8999115.38686619
PE, 50, 46, -8999024.775237618
PE, 50, 47, -8999082.634062348
PE, 50, 48, -8999109.046079503
PE, 50, 49, -8999045.902150424
