plastic, time, index, energy [kJ/mol]
PS, 20, 0, -13400713.559440473
PS, 20, 1, -13400772.321535889
PS, 20, 2, -13400666.686498344
PS, 20, 3, -13400734.670361495
PS, 20, 4, -13400791.394891012
PS, 20, 5, -13400687.13353961
PS, 20, 6, -13400720.125546386
PS, 20, 7, -13400793.049586192
PS, 20, 8, -13400858.27482868
PS, 20, 9, -13400737.14692552
PS, 20, 10, -13400748.449478233
PS, 20, 11, -13400717.166233351
PS, 20, 12, -13400805.224681998
PS, 20, 13, -13400872.287039025
PS, 20, 14, -13400819.596671127
PS, 20, 15, -13400792.25259247
PS, 20, 16, -13400668.731303483
PS, 20, 17, -13400734.754798893
PS, 20, 18, -13400741.363473622
PS, 20, 19, -13400775.99898012
PS, 20, 20, -13400726.060219321
PS, 20, 21, -13400753.824179811
PS, 20, 22, -13400737.566566886
PS, 20, 23, -13400685.115320072
PS, 20, 24, -13400676.802188711
PS, 20, 25, -13400753.215678615
PS, 20, 26, -13400698.311109925
PS, 20, 27, -13400730.494363187
PS, 20, 28, -13400731.856387096
PS, 20, 29, -13400738.17105672
PS, 20, 30, -13400759.300038556
PS, 20, 31, -13400846.051415341
PS, 20, 32, -13400707.844806185
PS, 20, 33, -13400792.946457407
PS, 20, 34, -13400764.466676097
PS, 20, 35, -13400724.23398281
PS, 20, 36, -13400785.86964169
PS, 20, 37, -13400773.83690715
PS, 20, 38, -13400699.536310699
PS, 20, 39, -13400769.48977604
PS, 20, 40, -13400779.331062946
PS, 20, 41, -13400822.12582229
PS, 20, 42, -13400795.85928371
PS, 20, 43, -13400793.002113031
PS, 20, 44, -13400814.458182296
PS, 20, 45, -13400713.167968739
PS, 20, 46, -13400738.339130247
PS, 20, 47, -13400831.499049993
