Frame, Element Type, H-Acceptor dist / Å, Donor-Acceptor dist / Å, Angle cutoff / °, Number of Hydrogen Bonds
174,O,2.500,3.500,30.000,29
175,O,2.500,3.500,30.000,25
176,O,2.500,3.500,30.000,26
177,O,2.500,3.500,30.000,34
178,O,2.500,3.500,30.000,26
179,O,2.500,3.500,30.000,21
180,O,2.500,3.500,30.000,24
181,O,2.500,3.500,30.000,24
182,O,2.500,3.500,30.000,22
183,O,2.500,3.500,30.000,26
184,O,2.500,3.500,30.000,26
185,O,2.500,3.500,30.000,31
186,O,2.500,3.500,30.000,22
187,O,2.500,3.500,30.000,21
188,O,2.500,3.500,30.000,18
189,O,2.500,3.500,30.000,27
190,O,2.500,3.500,30.000,21
191,O,2.500,3.500,30.000,28
192,O,2.500,3.500,30.000,24
193,O,2.500,3.500,30.000,23
194,O,2.500,3.500,30.000,24
195,O,2.500,3.500,30.000,30
196,O,2.500,3.500,30.000,23
197,O,2.500,3.500,30.000,19
198,O,2.500,3.500,30.000,23
199,O,2.500,3.500,30.000,26
200,O,2.500,3.500,30.000,29
201,O,2.500,3.500,30.000,18
202,O,2.500,3.500,30.000,27
203,O,2.500,3.500,30.000,30
204,O,2.500,3.500,30.000,18
205,O,2.500,3.500,30.000,33
206,O,2.500,3.500,30.000,20
207,O,2.500,3.500,30.000,23
208,O,2.500,3.500,30.000,34
209,O,2.500,3.500,30.000,26
210,O,2.500,3.500,30.000,21
211,O,2.500,3.500,30.000,22
212,O,2.500,3.500,30.000,21
213,O,2.500,3.500,30.000,36
214,O,2.500,3.500,30.000,23
215,O,2.500,3.500,30.000,25
216,O,2.500,3.500,30.000,25
217,O,2.500,3.500,30.000,26
218,O,2.500,3.500,30.000,19
219,O,2.500,3.500,30.000,32
220,O,2.500,3.500,30.000,28
221,O,2.500,3.500,30.000,27
222,O,2.500,3.500,30.000,21
223,O,2.500,3.500,30.000,32
224,O,2.500,3.500,30.000,24
225,O,2.500,3.500,30.000,26
226,O,2.500,3.500,30.000,23
227,O,2.500,3.500,30.000,24
228,O,2.500,3.500,30.000,26
229,O,2.500,3.500,30.000,35
230,O,2.500,3.500,30.000,28
231,O,2.500,3.500,30.000,24
232,O,2.500,3.500,30.000,24
233,O,2.500,3.500,30.000,28
234,O,2.500,3.500,30.000,30
235,O,2.500,3.500,30.000,20
236,O,2.500,3.500,30.000,20
237,O,2.500,3.500,30.000,28
238,O,2.500,3.500,30.000,30
239,O,2.500,3.500,30.000,22
240,O,2.500,3.500,30.000,29
241,O,2.500,3.500,30.000,30
242,O,2.500,3.500,30.000,28
243,O,2.500,3.500,30.000,23
244,O,2.500,3.500,30.000,21
245,O,2.500,3.500,30.000,32
246,O,2.500,3.500,30.000,26
247,O,2.500,3.500,30.000,31
248,O,2.500,3.500,30.000,29
249,O,2.500,3.500,30.000,23
250,O,2.500,3.500,30.000,26
251,O,2.500,3.500,30.000,29
252,O,2.500,3.500,30.000,28
253,O,2.500,3.500,30.000,29
254,O,2.500,3.500,30.000,26
255,O,2.500,3.500,30.000,41
256,O,2.500,3.500,30.000,31
257,O,2.500,3.500,30.000,28
258,O,2.500,3.500,30.000,37
