Frame, Element Type, H-Acceptor dist / Å, Donor-Acceptor dist / Å, Angle cutoff / °, Number of Hydrogen Bonds
0,O,2.500,3.500,30.000,4
1,O,2.500,3.500,30.000,11
2,O,2.500,3.500,30.000,14
3,O,2.500,3.500,30.000,16
4,O,2.500,3.500,30.000,12
5,O,2.500,3.500,30.000,16
6,O,2.500,3.500,30.000,16
7,O,2.500,3.500,30.000,12
8,O,2.500,3.500,30.000,18
9,O,2.500,3.500,30.000,19
10,O,2.500,3.500,30.000,14
11,O,2.500,3.500,30.000,17
12,O,2.500,3.500,30.000,11
13,O,2.500,3.500,30.000,11
14,O,2.500,3.500,30.000,11
15,O,2.500,3.500,30.000,17
16,O,2.500,3.500,30.000,18
17,O,2.500,3.500,30.000,15
18,O,2.500,3.500,30.000,15
19,O,2.500,3.500,30.000,19
20,O,2.500,3.500,30.000,22
21,O,2.500,3.500,30.000,14
22,O,2.500,3.500,30.000,20
23,O,2.500,3.500,30.000,14
24,O,2.500,3.500,30.000,18
25,O,2.500,3.500,30.000,25
26,O,2.500,3.500,30.000,21
27,O,2.500,3.500,30.000,20
28,O,2.500,3.500,30.000,17
29,O,2.500,3.500,30.000,15
30,O,2.500,3.500,30.000,18
31,O,2.500,3.500,30.000,18
32,O,2.500,3.500,30.000,17
33,O,2.500,3.500,30.000,21
34,O,2.500,3.500,30.000,23
35,O,2.500,3.500,30.000,23
36,O,2.500,3.500,30.000,23
37,O,2.500,3.500,30.000,14
38,O,2.500,3.500,30.000,17
39,O,2.500,3.500,30.000,22
40,O,2.500,3.500,30.000,15
41,O,2.500,3.500,30.000,23
42,O,2.500,3.500,30.000,20
43,O,2.500,3.500,30.000,20
44,O,2.500,3.500,30.000,27
45,O,2.500,3.500,30.000,20
46,O,2.500,3.500,30.000,14
47,O,2.500,3.500,30.000,20
48,O,2.500,3.500,30.000,17
49,O,2.500,3.500,30.000,23
50,O,2.500,3.500,30.000,30
51,O,2.500,3.500,30.000,17
52,O,2.500,3.500,30.000,21
53,O,2.500,3.500,30.000,16
54,O,2.500,3.500,30.000,17
55,O,2.500,3.500,30.000,19
56,O,2.500,3.500,30.000,22
57,O,2.500,3.500,30.000,18
58,O,2.500,3.500,30.000,15
59,O,2.500,3.500,30.000,24
60,O,2.500,3.500,30.000,23
61,O,2.500,3.500,30.000,22
62,O,2.500,3.500,30.000,20
63,O,2.500,3.500,30.000,21
64,O,2.500,3.500,30.000,16
65,O,2.500,3.500,30.000,14
66,O,2.500,3.500,30.000,24
67,O,2.500,3.500,30.000,31
68,O,2.500,3.500,30.000,14
69,O,2.500,3.500,30.000,22
70,O,2.500,3.500,30.000,20
71,O,2.500,3.500,30.000,22
72,O,2.500,3.500,30.000,24
73,O,2.500,3.500,30.000,20
74,O,2.500,3.500,30.000,24
75,O,2.500,3.500,30.000,15
76,O,2.500,3.500,30.000,24
77,O,2.500,3.500,30.000,21
78,O,2.500,3.500,30.000,17
79,O,2.500,3.500,30.000,27
80,O,2.500,3.500,30.000,17
81,O,2.500,3.500,30.000,23
82,O,2.500,3.500,30.000,28
83,O,2.500,3.500,30.000,14
84,O,2.500,3.500,30.000,20
85,O,2.500,3.500,30.000,21
86,O,2.500,3.500,30.000,22
87,O,2.500,3.500,30.000,19
88,O,2.500,3.500,30.000,24
89,O,2.500,3.500,30.000,28
90,O,2.500,3.500,30.000,25
91,O,2.500,3.500,30.000,19
92,O,2.500,3.500,30.000,22
93,O,2.500,3.500,30.000,21
94,O,2.500,3.500,30.000,14
95,O,2.500,3.500,30.000,24
96,O,2.500,3.500,30.000,20
97,O,2.500,3.500,30.000,29
98,O,2.500,3.500,30.000,19
99,O,2.500,3.500,30.000,23
100,O,2.500,3.500,30.000,25
101,O,2.500,3.500,30.000,19
102,O,2.500,3.500,30.000,18
103,O,2.500,3.500,30.000,23
104,O,2.500,3.500,30.000,18
105,O,2.500,3.500,30.000,17
106,O,2.500,3.500,30.000,19
107,O,2.500,3.500,30.000,23
108,O,2.500,3.500,30.000,22
109,O,2.500,3.500,30.000,25
110,O,2.500,3.500,30.000,19
111,O,2.500,3.500,30.000,21
112,O,2.500,3.500,30.000,28
113,O,2.500,3.500,30.000,32
114,O,2.500,3.500,30.000,24
115,O,2.500,3.500,30.000,26
116,O,2.500,3.500,30.000,24
117,O,2.500,3.500,30.000,21
118,O,2.500,3.500,30.000,19
119,O,2.500,3.500,30.000,19
120,O,2.500,3.500,30.000,25
121,O,2.500,3.500,30.000,20
122,O,2.500,3.500,30.000,27
123,O,2.500,3.500,30.000,34
124,O,2.500,3.500,30.000,22
125,O,2.500,3.500,30.000,29
126,O,2.500,3.500,30.000,24
127,O,2.500,3.500,30.000,27
128,O,2.500,3.500,30.000,22
129,O,2.500,3.500,30.000,24
130,O,2.500,3.500,30.000,28
131,O,2.500,3.500,30.000,18
132,O,2.500,3.500,30.000,23
133,O,2.500,3.500,30.000,23
134,O,2.500,3.500,30.000,23
135,O,2.500,3.500,30.000,22
136,O,2.500,3.500,30.000,25
137,O,2.500,3.500,30.000,29
138,O,2.500,3.500,30.000,19
139,O,2.500,3.500,30.000,22
140,O,2.500,3.500,30.000,30
141,O,2.500,3.500,30.000,25
142,O,2.500,3.500,30.000,26
143,O,2.500,3.500,30.000,24
144,O,2.500,3.500,30.000,23
145,O,2.500,3.500,30.000,28
146,O,2.500,3.500,30.000,27
147,O,2.500,3.500,30.000,24
148,O,2.500,3.500,30.000,34
149,O,2.500,3.500,30.000,22
150,O,2.500,3.500,30.000,28
151,O,2.500,3.500,30.000,29
152,O,2.500,3.500,30.000,26
153,O,2.500,3.500,30.000,29
154,O,2.500,3.500,30.000,16
155,O,2.500,3.500,30.000,23
156,O,2.500,3.500,30.000,21
157,O,2.500,3.500,30.000,27
158,O,2.500,3.500,30.000,21
159,O,2.500,3.500,30.000,27
160,O,2.500,3.500,30.000,25
161,O,2.500,3.500,30.000,27
162,O,2.500,3.500,30.000,22
163,O,2.500,3.500,30.000,26
164,O,2.500,3.500,30.000,26
165,O,2.500,3.500,30.000,22
166,O,2.500,3.500,30.000,21
167,O,2.500,3.500,30.000,24
168,O,2.500,3.500,30.000,22
169,O,2.500,3.500,30.000,25
170,O,2.500,3.500,30.000,22
171,O,2.500,3.500,30.000,26
172,O,2.500,3.500,30.000,28
173,O,2.500,3.500,30.000,17
174,O,2.500,3.500,30.000,27
175,O,2.500,3.500,30.000,26
176,O,2.500,3.500,30.000,22
177,O,2.500,3.500,30.000,24
178,O,2.500,3.500,30.000,16
179,O,2.500,3.500,30.000,25
180,O,2.500,3.500,30.000,22
181,O,2.500,3.500,30.000,22
182,O,2.500,3.500,30.000,25
183,O,2.500,3.500,30.000,28
184,O,2.500,3.500,30.000,27
185,O,2.500,3.500,30.000,21
186,O,2.500,3.500,30.000,26
187,O,2.500,3.500,30.000,27
188,O,2.500,3.500,30.000,31
189,O,2.500,3.500,30.000,22
190,O,2.500,3.500,30.000,25
191,O,2.500,3.500,30.000,23
192,O,2.500,3.500,30.000,23
193,O,2.500,3.500,30.000,16
194,O,2.500,3.500,30.000,28
195,O,2.500,3.500,30.000,32
196,O,2.500,3.500,30.000,26
197,O,2.500,3.500,30.000,22
198,O,2.500,3.500,30.000,25
199,O,2.500,3.500,30.000,24
200,O,2.500,3.500,30.000,26
201,O,2.500,3.500,30.000,14
202,O,2.500,3.500,30.000,20
203,O,2.500,3.500,30.000,23
204,O,2.500,3.500,30.000,34
205,O,2.500,3.500,30.000,27
206,O,2.500,3.500,30.000,26
207,O,2.500,3.500,30.000,23
208,O,2.500,3.500,30.000,29
209,O,2.500,3.500,30.000,28
210,O,2.500,3.500,30.000,29
211,O,2.500,3.500,30.000,22
212,O,2.500,3.500,30.000,26
213,O,2.500,3.500,30.000,25
214,O,2.500,3.500,30.000,31
215,O,2.500,3.500,30.000,32
216,O,2.500,3.500,30.000,32
217,O,2.500,3.500,30.000,32
218,O,2.500,3.500,30.000,29
219,O,2.500,3.500,30.000,23
220,O,2.500,3.500,30.000,25
221,O,2.500,3.500,30.000,27
222,O,2.500,3.500,30.000,31
223,O,2.500,3.500,30.000,21
224,O,2.500,3.500,30.000,25
225,O,2.500,3.500,30.000,25
226,O,2.500,3.500,30.000,22
227,O,2.500,3.500,30.000,33
228,O,2.500,3.500,30.000,20
229,O,2.500,3.500,30.000,29
230,O,2.500,3.500,30.000,27
231,O,2.500,3.500,30.000,30
232,O,2.500,3.500,30.000,30
233,O,2.500,3.500,30.000,23
234,O,2.500,3.500,30.000,27
235,O,2.500,3.500,30.000,24
236,O,2.500,3.500,30.000,25
237,O,2.500,3.500,30.000,34
238,O,2.500,3.500,30.000,35
239,O,2.500,3.500,30.000,25
240,O,2.500,3.500,30.000,34
241,O,2.500,3.500,30.000,31
242,O,2.500,3.500,30.000,35
243,O,2.500,3.500,30.000,23
244,O,2.500,3.500,30.000,29
245,O,2.500,3.500,30.000,21
246,O,2.500,3.500,30.000,29
247,O,2.500,3.500,30.000,28
248,O,2.500,3.500,30.000,30
249,O,2.500,3.500,30.000,30
250,O,2.500,3.500,30.000,21
251,O,2.500,3.500,30.000,31
252,O,2.500,3.500,30.000,28
253,O,2.500,3.500,30.000,29
254,O,2.500,3.500,30.000,29
255,O,2.500,3.500,30.000,32
256,O,2.500,3.500,30.000,25
257,O,2.500,3.500,30.000,38
258,O,2.500,3.500,30.000,33
259,O,2.500,3.500,30.000,36
260,O,2.500,3.500,30.000,30
261,O,2.500,3.500,30.000,30
262,O,2.500,3.500,30.000,36
263,O,2.500,3.500,30.000,18
264,O,2.500,3.500,30.000,27
265,O,2.500,3.500,30.000,25
266,O,2.500,3.500,30.000,33
267,O,2.500,3.500,30.000,32
268,O,2.500,3.500,30.000,25
269,O,2.500,3.500,30.000,31
270,O,2.500,3.500,30.000,24
271,O,2.500,3.500,30.000,35
272,O,2.500,3.500,30.000,26
273,O,2.500,3.500,30.000,30
274,O,2.500,3.500,30.000,33
275,O,2.500,3.500,30.000,27
276,O,2.500,3.500,30.000,28
277,O,2.500,3.500,30.000,31
278,O,2.500,3.500,30.000,18
279,O,2.500,3.500,30.000,27
280,O,2.500,3.500,30.000,26
281,O,2.500,3.500,30.000,32
282,O,2.500,3.500,30.000,28
283,O,2.500,3.500,30.000,27
284,O,2.500,3.500,30.000,26
285,O,2.500,3.500,30.000,29
286,O,2.500,3.500,30.000,34
287,O,2.500,3.500,30.000,30
288,O,2.500,3.500,30.000,32
289,O,2.500,3.500,30.000,27
290,O,2.500,3.500,30.000,29
291,O,2.500,3.500,30.000,24
292,O,2.500,3.500,30.000,29
293,O,2.500,3.500,30.000,33
294,O,2.500,3.500,30.000,26
295,O,2.500,3.500,30.000,29
296,O,2.500,3.500,30.000,30
297,O,2.500,3.500,30.000,24
298,O,2.500,3.500,30.000,28
299,O,2.500,3.500,30.000,33
300,O,2.500,3.500,30.000,38
301,O,2.500,3.500,30.000,29
302,O,2.500,3.500,30.000,27
303,O,2.500,3.500,30.000,37
304,O,2.500,3.500,30.000,29
305,O,2.500,3.500,30.000,32
306,O,2.500,3.500,30.000,34
307,O,2.500,3.500,30.000,20
308,O,2.500,3.500,30.000,29
309,O,2.500,3.500,30.000,29
310,O,2.500,3.500,30.000,29
311,O,2.500,3.500,30.000,38
312,O,2.500,3.500,30.000,22
313,O,2.500,3.500,30.000,36
314,O,2.500,3.500,30.000,29
315,O,2.500,3.500,30.000,33
316,O,2.500,3.500,30.000,27
317,O,2.500,3.500,30.000,27
318,O,2.500,3.500,30.000,27
319,O,2.500,3.500,30.000,30
320,O,2.500,3.500,30.000,26
321,O,2.500,3.500,30.000,27
322,O,2.500,3.500,30.000,26
323,O,2.500,3.500,30.000,31
324,O,2.500,3.500,30.000,26
325,O,2.500,3.500,30.000,33
326,O,2.500,3.500,30.000,30
327,O,2.500,3.500,30.000,37
328,O,2.500,3.500,30.000,31
329,O,2.500,3.500,30.000,22
330,O,2.500,3.500,30.000,30
331,O,2.500,3.500,30.000,25
332,O,2.500,3.500,30.000,29
333,O,2.500,3.500,30.000,38
334,O,2.500,3.500,30.000,32
335,O,2.500,3.500,30.000,29
336,O,2.500,3.500,30.000,28
337,O,2.500,3.500,30.000,31
338,O,2.500,3.500,30.000,32
339,O,2.500,3.500,30.000,33
340,O,2.500,3.500,30.000,23
341,O,2.500,3.500,30.000,24
342,O,2.500,3.500,30.000,23
343,O,2.500,3.500,30.000,32
344,O,2.500,3.500,30.000,28
345,O,2.500,3.500,30.000,30
346,O,2.500,3.500,30.000,37
347,O,2.500,3.500,30.000,28
348,O,2.500,3.500,30.000,32
349,O,2.500,3.500,30.000,33
350,O,2.500,3.500,30.000,30
351,O,2.500,3.500,30.000,34
352,O,2.500,3.500,30.000,34
353,O,2.500,3.500,30.000,37
354,O,2.500,3.500,30.000,32
355,O,2.500,3.500,30.000,33
356,O,2.500,3.500,30.000,23
357,O,2.500,3.500,30.000,29
358,O,2.500,3.500,30.000,34
359,O,2.500,3.500,30.000,28
360,O,2.500,3.500,30.000,32
361,O,2.500,3.500,30.000,30
362,O,2.500,3.500,30.000,31
363,O,2.500,3.500,30.000,29
364,O,2.500,3.500,30.000,38
365,O,2.500,3.500,30.000,31
366,O,2.500,3.500,30.000,26
367,O,2.500,3.500,30.000,42
368,O,2.500,3.500,30.000,35
369,O,2.500,3.500,30.000,35
370,O,2.500,3.500,30.000,35
371,O,2.500,3.500,30.000,24
372,O,2.500,3.500,30.000,28
373,O,2.500,3.500,30.000,28
374,O,2.500,3.500,30.000,31
375,O,2.500,3.500,30.000,38
376,O,2.500,3.500,30.000,24
377,O,2.500,3.500,30.000,31
378,O,2.500,3.500,30.000,31
379,O,2.500,3.500,30.000,30
380,O,2.500,3.500,30.000,35
381,O,2.500,3.500,30.000,35
382,O,2.500,3.500,30.000,34
383,O,2.500,3.500,30.000,32
384,O,2.500,3.500,30.000,33
385,O,2.500,3.500,30.000,34
386,O,2.500,3.500,30.000,29
387,O,2.500,3.500,30.000,34
388,O,2.500,3.500,30.000,25
389,O,2.500,3.500,30.000,29
390,O,2.500,3.500,30.000,35
391,O,2.500,3.500,30.000,32
392,O,2.500,3.500,30.000,34
393,O,2.500,3.500,30.000,38
394,O,2.500,3.500,30.000,32
395,O,2.500,3.500,30.000,35
396,O,2.500,3.500,30.000,28
397,O,2.500,3.500,30.000,36
398,O,2.500,3.500,30.000,32
