Frame,Cis count,Trans count
0,266,787
1,221,832
2,234,819
3,224,829
4,251,802
5,218,835
6,221,832
7,228,825
8,228,825
9,214,839
10,258,795
11,217,836
12,213,840
13,228,825
14,237,816
15,268,785
16,225,828
17,262,791
18,221,832
19,227,826
20,253,800
21,229,824
22,246,807
23,229,824
24,241,812
25,223,830
26,234,819
27,222,831
28,219,834
29,227,826
30,209,844
31,247,806
32,217,836
33,218,835
34,196,857
35,255,798
36,229,824
37,220,833
38,265,788
39,245,808
40,260,793
41,204,849
42,238,815
43,231,822
