Frame, End-to-End Distance (subgraphs) / Å
0,22.087,27.716,34.649,17.723,24.676,35.594,33.363,19.165,16.401,21.967,15.439
1,38.313,23.201,28.075,18.273,34.939,13.153,30.144,32.699,19.699,30.751,31.591
2,9.488,28.897,27.786,18.528,24.723,11.350,39.702,14.839,32.644,18.595,15.547
3,33.702,28.204,24.721,42.696,33.475,18.768,19.778,24.616,14.312,35.047,25.034
4,8.233,26.582,16.530,30.944,34.307,21.592,38.427,19.869,15.735,33.439,37.394
5,31.037,27.418,16.148,31.631,15.203,28.028,32.158,32.087,11.391,19.735,28.966
6,20.408,34.774,18.910,23.050,29.270,19.073,20.628,21.853,19.842,17.702,42.305
7,30.068,28.233,16.531,34.136,21.996,25.459,26.954,20.393,24.909,18.171,13.472
8,11.549,12.912,12.542,20.024,43.169,23.025,24.970,15.820,23.028,14.283,39.898
9,33.791,33.281,13.684,40.853,32.959,14.679,29.161,23.318,2.656,26.017,24.822
10,30.530,32.575,37.580,20.822,7.741,30.511,25.999,23.239,26.000,20.096,29.149
11,24.045,30.775,14.842,17.215,9.198,13.109,23.487,32.469,30.649,35.393,20.946
12,39.906,35.647,23.514,34.444,38.627,16.825,31.574,20.107,23.528,26.340,21.217
13,12.459,31.318,31.195,20.930,17.008,28.954,34.564,20.335,37.462,24.473,33.372
14,21.400,18.297,15.434,8.232,28.252,42.718,12.118,28.287,16.253,29.874,20.459
15,20.605,34.113,31.126,14.082,18.937,18.950,28.921,19.272,29.091,30.518,30.098
16,37.238,36.721,24.046,33.275,33.501,29.580,5.807,22.654,35.267,33.554,34.140
17,18.620,28.441,35.126,37.101,21.466,13.131,11.213,16.869,28.904,20.318,21.939
18,2.717,31.561,15.931,31.982,31.340,23.509,28.757,15.321,23.297,19.678,37.433
19,19.326,16.427,28.841,27.743,30.415,28.723,25.365,27.897,28.937,29.926,31.860
20,27.707,31.213,34.324,18.731,13.488,13.160,31.406,25.960,40.243,24.817,17.002
21,30.983,33.509,34.869,26.221,21.839,20.739,31.847,27.779,29.233,9.948,31.808
22,27.240,25.946,27.288,27.859,32.285,38.694,36.819,25.267,23.533,33.098,36.711
23,13.537,24.905,27.006,38.060,32.021,18.836,26.734,26.775,16.126,17.914,12.369
24,28.645,29.191,19.884,28.052,5.500,18.075,24.199,23.272,23.855,25.771,37.309
25,38.521,20.263,24.898,30.856,37.750,27.794,27.888,39.636,28.905,41.745,11.194
26,26.983,34.522,17.117,26.543,37.798,38.107,34.289,31.292,42.207,17.684,15.128
27,25.591,20.713,28.588,9.208,29.094,29.530,29.086,13.065,25.092,29.778,28.612
28,35.910,36.010,35.412,39.479,27.457,9.361,23.580,26.027,21.470,11.430,34.213
29,35.346,13.851,26.944,38.589,30.564,7.018,19.975,10.922,35.270,23.710,33.598
30,26.252,39.104,15.143,48.369,28.990,25.750,17.830,23.513,22.387,39.478,30.677
31,27.147,9.434,19.414,36.197,26.154,17.758,27.349,39.769,29.839,27.194,30.715
32,14.615,8.751,34.447,28.957,22.232,34.655,31.510,25.919,21.062,22.257,35.819
33,19.499,18.379,24.840,24.865,39.995,21.474,23.529,26.936,13.734,31.496,19.582
34,33.227,21.659,21.543,15.735,20.265,27.134,11.425,35.253,23.699,26.439,29.909
35,20.605,10.472,28.751,21.446,35.288,12.091,28.974,31.069,33.131,9.725,26.754
36,35.482,36.792,11.797,20.151,17.831,22.160,4.382,19.493,6.395,10.354,25.809
37,20.404,17.369,29.069,37.373,30.660,27.197,30.813,21.802,9.914,18.634,21.156
38,22.892,34.167,12.062,19.796,19.655,36.685,29.761,22.052,17.070,29.627,25.808
39,27.218,36.889,34.361,22.451,34.542,41.365,23.458,29.135,27.004,25.513,29.136
40,24.394,21.969,18.378,37.486,40.592,24.716,17.300,23.929,20.105,34.814,23.009
41,24.136,30.839,14.330,30.371,22.583,32.761,20.409,10.240,26.987,32.703,14.595
42,20.437,26.798,35.874,17.916,12.322,16.047,17.842,17.334,25.434,35.378,35.773
43,18.364,18.398,29.049,28.027,29.248,16.806,28.803,29.752,27.830,14.205,15.292
44,28.797,16.782,18.597,13.535,39.127,23.383,33.796,36.242,14.087,16.194,29.539
45,12.339,30.875,17.670,15.281,31.723,30.558,34.171,35.928,32.625,24.938,27.196
46,13.722,20.401,42.625,25.405,14.766,32.216,7.466,37.138,11.998,23.404,34.290
47,29.201,25.764,29.474,27.896,20.593,14.803,17.894,13.762,26.026,36.342,17.501
48,27.987,32.057,33.771,29.333,26.489,25.626,25.630,18.936,17.752,8.368,18.948
49,20.203,21.963,28.962,22.234,21.355,14.298,42.561,14.462,29.671,15.893,32.939
50,13.904,22.648,10.846,26.598,2.629,26.062,30.318,28.130,24.456,27.642,20.648
