Frame, Rg(whole graph) / Å, Rg(subgraphs) / Å
47,44.588,9.165,12.095,9.143,8.402,9.121,8.627,9.341,7.649,8.364,10.722,8.459,7.670,9.735
48,34.820,11.053,11.101,10.024,8.625,11.731,11.718,6.700,8.317,9.369,10.455,11.511,7.667,8.832
49,35.259,12.062,8.796,10.581,9.101,9.061,7.970,8.044,8.596,9.295,13.962,7.732,11.568,7.646
50,44.095,10.680,9.672,10.544,8.832,10.973,9.959,8.772,11.527,10.564,10.597,8.135,9.133,8.823
51,37.226,13.131,9.209,8.575,7.769,9.649,14.255,11.705,10.254,8.710,10.958,11.021,12.037,8.343
52,34.247,11.691,9.539,8.651,8.071,10.915,8.910,10.198,13.613,10.511,13.062,9.684,7.175,11.864
53,26.327,14.073,12.083,9.336,8.501,12.879,11.897,10.841,10.881,7.951,11.080,8.982,7.530,11.015
54,28.818,7.613,11.091,9.513,8.731,11.204,8.154,8.476,10.601,9.497,9.578,11.052,9.139,8.878
55,28.352,8.629,9.461,9.078,10.183,11.272,7.603,9.245,9.950,9.355,10.267,7.642,11.187,7.905
56,31.264,11.016,11.642,11.777,10.862,7.449,8.786,13.150,8.828,9.853,9.395,8.865,8.117,8.642
57,26.046,10.261,9.214,10.455,9.432,10.910,8.854,10.891,7.907,9.719,8.814,8.999,9.014,8.147
58,24.723,7.996,11.044,10.354,6.977,7.687,7.843,11.541,9.280,9.319,8.307,8.293,9.351,11.588
59,29.353,12.094,11.287,8.424,8.773,7.088,8.153,10.000,7.516,10.762,8.911,9.176,9.724,13.355
60,29.174,12.449,9.265,7.798,8.159,9.020,10.373,8.310,7.746,8.783,12.104,8.620,10.456,9.626
61,29.812,8.096,9.925,11.793,10.531,8.524,11.624,8.850,7.680,9.003,10.125,8.324,8.642,8.440
62,32.156,9.434,9.225,11.836,9.768,7.417,9.952,9.143,8.393,8.873,7.901,9.485,7.901,9.167
63,28.454,10.141,7.149,8.904,9.163,9.921,8.682,7.951,9.343,8.367,7.651,11.424,8.416,8.479
64,22.868,13.770,8.658,8.806,8.408,9.537,8.836,10.166,7.646,9.709,8.153,9.921,10.170,11.261
65,26.827,11.243,9.133,11.456,10.070,8.739,7.842,7.631,9.989,8.831,8.080,9.065,10.780,13.677
66,23.410,9.959,7.676,7.721,11.742,8.070,8.633,7.897,8.317,8.378,8.833,8.323,10.195,11.205
67,34.054,9.015,9.713,7.949,12.363,7.172,12.055,9.403,8.179,9.541,10.748,8.977,9.708,10.604
68,25.665,7.448,8.535,10.873,12.226,8.181,8.128,8.898,7.528,7.582,12.315,10.190,10.107,11.198
69,22.878,8.154,8.169,11.080,10.640,11.424,13.061,9.401,12.653,8.178,9.024,11.113,8.590,9.545
