Frame, Anisotropy Factor
0,0.008
1,0.012
2,0.015
3,0.024
4,0.013
5,0.010
6,0.024
7,0.024
8,0.020
9,0.023
10,0.006
11,0.034
12,0.012
13,0.009
14,0.020
15,0.025
16,0.007
17,0.020
18,0.013
19,0.025
20,0.017
21,0.010
22,0.005
23,0.009
24,0.033
25,0.009
26,0.011
27,0.020
28,0.015
29,0.014
30,0.022
31,0.005
32,0.017
33,0.010
34,0.003
35,0.016
36,0.020
37,0.004
38,0.020
39,0.013
40,0.009
41,0.032
42,0.016
43,0.006
44,0.024
45,0.004
46,0.009
47,0.023
48,0.026
49,0.026
50,0.028
