#Frame Index,  Radius of gyration [pm]
357, 1906.21
358, 1973.2555
359, 1887.4319
360, 1874.8852
361, 1926.6839
362, 2001.4064
363, 1973.3777
364, 1918.7656
365, 1930.1668
366, 1911.3678
367, 1939.6873
368, 1861.8337
369, 1863.8941
370, 1879.7604
371, 1974.815
372, 1991.4193
373, 2017.8441
374, 1959.7973
375, 1906.6435
376, 1995.9599
377, 1951.8411
378, 1924.7935
379, 1967.9414
380, 1923.2688
381, 2043.1804
382, 2062.3425
383, 1966.3458
384, 2041.5068
385, 2006.9107
386, 1964.3663
387, 1903.6226
388, 1875.4763
389, 1893.3494
390, 1912.6759
391, 1908.0113
392, 1982.9791
393, 1883.3002
394, 1895.9364
395, 1866.8236
396, 1902.6822
397, 1851.0654
398, 1856.209
399, 1883.5109
400, 1897.8807
401, 1928.1943
402, 1837.2718
403, 1909.8293
404, 1941.3169
405, 1986.7982
406, 2019.4526
407, 1884.7737
408, 1876.1937
409, 1906.7874
410, 1899.1514
411, 1945.1201
412, 1976.8176
413, 1895.1969
414, 1794.3781
415, 1864.6272
416, 1848.9258
417, 1851.5909
418, 1871.8966
419, 1817.901
420, 1821.1936
421, 1812.2875
422, 1798.8846
423, 1845.0226
424, 1855.4244
425, 1862.6041
426, 1811.0452
427, 1937.3963
428, 1837.4067
429, 1864.9888
430, 1897.1094
431, 1888.3018
432, 1887.1783
433, 1868.2097
434, 1854.7368
435, 1864.552
436, 1823.3417
437, 1808.2962
438, 1828.5867
439, 1814.5747
440, 1788.2603
441, 1825.6965
442, 1871.6585
443, 1936.3311
444, 1882.1364
445, 1896.5431
446, 1853.6325
447, 1855.5681
448, 1837.7024
449, 1845.6657
450, 1851.3159
451, 1860.55
452, 1848.375
453, 1836.438
454, 1876.6998
455, 1876.2308
456, 1978.616
457, 1884.1687
458, 1899.2902
459, 1842.1048
460, 1832.7057
461, 1816.6209
462, 1811.2543
463, 1832.5556
464, 1876.6972
465, 1835.4301
466, 1845.3236
467, 1901.6791
468, 1890.0154
469, 1881.2206
470, 1830.3832
471, 1786.9547
472, 1812.5187
473, 1872.2981
474, 1847.3453
475, 1871.2288
476, 1884.5566
477, 1920.6492
478, 1995.2278
479, 1905.8901
480, 1890.7648
481, 1910.5587
482, 1857.7188
483, 1841.0568
484, 1793.167
485, 1807.3985
486, 1824.8736
487, 1806.9852
488, 1833.2664
489, 1817.1024
490, 1855.9532
491, 1864.2254
492, 1815.0719
493, 1777.8109
494, 1859.4874
495, 1864.7598
496, 1802.5503
497, 1915.6216
498, 1868.885
499, 1853.7305
500, 1858.2119
501, 1791.3383
502, 1840.4784
503, 1868.5111
504, 1824.1288
505, 1788.0651
506, 1813.7574
507, 1854.1605
508, 1918.1652
509, 1883.8029
510, 1905.34
511, 1880.031
512, 1844.5709
513, 1853.3063
514, 1863.7406
515, 1821.5155
516, 1847.3984
517, 1808.4719
518, 1860.0385
519, 1811.9051
520, 1801.4445
521, 1787.8083
522, 1812.9798
523, 1803.8858
524, 1856.6645
525, 1846.0275
526, 1895.6506
527, 1814.1466
528, 1859.5378
529, 1880.7738
530, 1886.372
531, 1860.3042
532, 1877.1615
533, 1901.4407
534, 1861.0678
535, 1862.1474
536, 1894.0946
537, 1879.6644
538, 1822.38
